,Unnamed: 0,date_x,中国:固定资产投资完成额:累计值,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:工业增加值:金属制品业:累计同比,中国:工业增加值:金属制品业:当月同比,中国:工业增加值:通用设备制造业:当月同比,中国:工业增加值:通用设备制造业:累计同比,中国:工业增加值:专用设备制造业:当月同比,中国:工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:累计值,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计值,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月值,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:产量:汽车:累计值,month,date_y,open,close,high,low,volume,money,re1,re3,re6,re12,ppi_yoy
36,36,2012-11,326236.17,20.7,22.75,12.2,13.6,9.1,8.2,6.3,8.7,419631.9,-10.3,1.5,73.6,-15.7,-6.8,184.9,3.9,6.5,1868.4,37,2013-01-31,2690.95,2686.88,2696.88,2671.33,9674010100.0,94476820552.0,-0.0050430238789972,-0.0891628952539749,-0.1838042636812957,-0.1802946168046211,-2.2
37,37,2012-12,364835.07,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,439337.2,3.8,-2.2,79.8,-13.4,-1.4,191.7,5.3,6.3,2059.7,38,2013-02-28,2611.94,2673.33,2673.71,2594.0,8692259500.0,92235377254.0,-0.0666771404951876,-0.0250249688590634,-0.1344465516789921,-0.1849229238440447,-1.94
38,38,2013-01,364835.07,20.6,22.03,12.2,12.2,9.6,8.4,10.4,8.9,39417.2,57.9,57.9,6.4,27.9,27.9,205.5,47.5,47.5,205.5,39,2013-03-29,2502.78,2495.08,2509.11,2482.49,5240213700.0,52055540480.0,-0.019145678695673,-0.1180082402167466,-0.0344838642448338,-0.139787101014797,-1.64
39,39,2013-02,25675.92,21.2,17.0,13.2,12.2,9.6,9.2,10.4,6.5,79500.9,25.0,39.4,11.7,3.5,-15.9,144.5,-16.0,12.4,350.0,40,2013-04-26,2477.72,2447.31,2488.59,2439.8,4712337800.0,46351986661.0,0.0650183262439167,-0.1039059211951081,-0.0300697500520981,-0.1179458262337015,-1.63
40,40,2013-03,58092.28,20.9,18.7,13.4,12.9,7.8,8.4,6.6,7.1,126888.2,12.5,24.5,17.2,-9.0,-12.3,229.0,12.4,13.5,579.2,41,2013-05-31,2638.71,2606.43,2645.57,2604.75,6252853300.0,65904433688.0,-0.1556880484033717,-0.1122301385419903,-0.0642603100793037,-0.1726384364820846,-1.92
41,41,2013-04,91319.18,20.6,18.4,12.9,12.3,10.5,9.1,7.3,6.3,158991.2,0.9,9.3,24.3,-4.0,-1.5,203.2,18.3,15.4,780.3,42,2013-06-28,2149.03,2200.64,2227.46,2139.37,7945132700.0,64106048718.0,-0.0034626290533662,0.094699723716737,0.0587965319179877,-0.0161407590519121,-2.62
42,42,2013-05,131210.65,20.4,17.8,13.0,12.9,9.4,9.0,8.7,7.1,200113.65,5.61,8.59,30.92,-4.88,-1.77,192.69,15.77,15.35,972.67,43,2013-07-31,2211.75,2193.02,2235.38,2187.21,4832705500.0,46723493389.0,0.0551248962617758,0.0823977893498462,0.0043000063838907,0.0716956525704279,-2.87
43,43,2013-06,181317.6,20.1,17.1,12.7,11.5,9.9,9.2,7.6,7.2,250825.99,6.69,7.37,35.97,-12.55,-9.07,185.11,13.35,15.11,1156.82,44,2013-08-30,2315.91,2313.91,2334.41,2303.61,8765451500.0,76695994654.0,0.0411122299484423,0.0540340808415193,-0.0583168749000609,0.0105362784205089,-2.7
44,44,2013-07,221722.23,20.1,17.08,12.5,11.1,9.2,9.2,8.5,7.4,295094.08,3.09,6.51,41.98,-5.37,-0.75,170.79,15.44,15.15,1327.57,45,2013-09-30,2406.2,2409.04,2415.07,2397.22,5951399200.0,60990141884.0,-0.0146614419021685,-0.032797296848537,-0.1090641915451797,0.017413575532162,-2.27
45,45,2013-08,262578.08,20.3,17.9,12.4,11.6,8.0,9.0,7.6,7.4,337588.02,7.58,7.09,48.18,-5.45,0.13,179.5,14.58,15.11,1507.28,46,2013-10-31,2398.39,2373.72,2398.39,2370.23,8273696400.0,70393879838.0,0.0274758606743845,-0.0721525706486021,-0.0906004077987293,0.0567042448140473,-1.63
46,46,2013-09,309207.57,20.2,18.48,12.4,12.3,9.9,9.1,10.8,7.8,385609.62,0.86,6.41,53.89,-9.36,-20.0,207.14,17.45,15.32,1713.95,47,2013-11-29,2442.68,2438.94,2446.39,2432.39,6180374600.0,61907374173.0,-0.0446546450507187,-0.106591388062027,-0.115820807399936,0.1516560472992365,-1.34
47,47,2013-10,351669.25,20.1,19.06,12.4,12.1,9.7,9.2,11.2,8.2,433253.4,-2.84,5.32,60.01,-8.33,1.33,208.34,25.26,17.23,1937.24,48,2013-12-31,2289.01,2330.03,2333.07,2287.12,5663107000.0,57026486218.0,-0.0547546598112472,-0.0788530619777427,-0.0707759127564882,0.5165899151513069,-1.51
48,48,2013-11,391282.53,19.9,18.56,12.3,11.3,9.9,9.3,10.8,8.5,475676.13,-11.73,3.64,65.7,-7.84,-1.96,228.37,25.64,18.11,2162.05,49,2014-01-30,2223.16,2202.45,2223.16,2200.22,4363230400.0,43475960839.0,-0.0106608549569797,-0.0198824036868032,0.0671070852913802,0.5593498149787737,-1.42
49,49,2013-12,436527.7,19.6,18.46,12.4,12.9,8.2,9.2,8.9,8.5,512735.69,-12.87,2.02,72.59,-1.54,8.33,229.97,22.91,18.4,2387.42,50,2014-02-28,2149.45,2178.97,2180.47,2133.55,7666805700.0,70216798972.0,-0.0149933225331232,-0.0103305690303215,0.0731171149671634,0.6396921481250317,-1.36
50,50,2014-02,30283.03,17.9,15.12,12.5,12.9,8.2,11.0,8.9,12.1,71597.44,-12.87,-3.89,10.64,1.33,8.33,229.97,22.91,12.53,387.04,52,2014-04-30,2158.76,2158.66,2164.18,2153.12,4533462400.0,39493022295.0,-0.0010191507694587,0.0887541345093716,0.1619801172949886,1.2003882037930942,-2.02
51,51,2014-03,68321.71,17.6,15.2,12.1,11.5,10.7,10.9,10.7,11.5,104470.6,-6.0,-7.4,17.9,7.8,15.0,236.3,7.3,10.8,626.0,53,2014-05-30,2156.38,2156.46,2166.91,2146.22,4392386300.0,39769199791.0,0.0040158407760866,0.0843187446092206,0.3025143058531112,1.244803984307615,-2.3
52,52,2014-04,107077.83,17.3,15.2,12.0,11.9,8.8,10.3,7.4,10.4,133528.56,-12.51,-9.51,24.59,5.39,1.11,220.55,8.07,8.36,848.73,54,2014-06-30,2152.31,2165.12,2168.22,2152.31,5430418800.0,50277570814.0,0.0855056532663316,0.1320342521430682,0.6321035323677209,1.065936299142773,-2.0
53,53,2014-05,153716.49,17.2,14.2,12.0,12.2,10.0,10.2,4.0,9.0,173526.39,-4.97,-1.62,39.98,4.88,4.68,212.34,12.08,10.79,1061.12,55,2014-07-31,2321.97,2350.25,2350.55,2316.59,11098776900.0,93135566963.0,-0.0050888203382618,0.0672566748218275,0.4612870971173279,0.6239548984150622,-1.45
54,54,2014-06,212770.45,17.3,14.8,11.8,11.0,8.8,9.9,6.9,8.6,274888.51,-23.49,-8.01,42.46,5.17,3.36,203.39,11.23,10.9,1266.87,56,2014-08-29,2317.3,2338.29,2338.77,2313.26,6321142300.0,58359967752.0,0.0481976144960631,0.2012282479931917,0.5279712952627775,0.4397444286209153,-1.11
55,55,2014-07,259492.91,17.0,14.6,12.0,12.8,11.9,10.2,8.9,8.7,323156.7,-15.84,-9.37,49.64,4.6,6.97,185.48,10.09,10.85,1450.58,57,2014-09-30,2452.17,2450.99,2454.89,2444.2,11580422900.0,101906558841.0,0.0233905483090508,0.4417439483637224,0.6528831206981669,0.3067984773499688,-0.87
56,56,2014-08,305786.48,16.5,14.1,12.0,11.9,9.8,10.1,6.6,8.4,370659.41,-15.59,-10.38,57.1,4.8,4.4,184.54,3.19,9.93,1634.91,58,2014-10-31,2473.5,2508.32,2512.19,2466.5,23917241200.0,181604617039.0,0.1198013012693755,0.3691993047139119,0.8936539197550553,0.4089430375709637,-1.2
57,57,2014-09,357787.18,16.1,13.8,12.1,12.7,9.5,10.0,4.6,7.9,422149.85,-16.14,-13.67,64.68,4.39,4.1,214.99,4.47,9.3,1849.77,59,2014-11-28,2753.93,2808.82,2809.54,2740.37,37532366200.0,330256023242.0,0.2580727850129234,0.2720074622083295,0.7234390242165749,0.2697182446721398,-1.8
58,58,2014-10,406160.6,15.9,13.5,11.9,10.2,7.8,9.7,3.5,7.4,466096.52,-17.68,-14.02,72.0,4.7,-1.4,219.3,6.8,9.0,2069.0,60,2014-12-31,3462.39,3533.7,3542.34,3452.5,34593476000.0,403710888146.0,-0.0281036873531992,0.1464470668138211,0.2658120383733764,0.0558366584599712,-2.24
59,59,2014-11,451067.58,15.8,13.5,11.8,11.4,6.1,9.3,5.4,7.2,512632.76,-9.25,-13.77,81.0,6.3,0.0,232.7,2.6,8.4,2301.6,61,2015-01-30,3496.89,3434.39,3514.22,3431.94,19647915700.0,237420793858.0,0.0403128357583153,0.3830374535215861,0.1113181671272045,-0.1421795428009048,-2.69
60,60,2014-12,502004.9,15.7,13.5,11.6,9.9,7.3,9.1,3.8,6.9,558118.1,1.6,-12.6,85.8,3.0,0.0,225.3,3.7,7.1,2372.5,62,2015-02-27,3565.23,3572.84,3594.81,3560.45,22278643800.0,271861944608.0,0.1338878875068572,0.3548969447274437,-0.0577411806853931,-0.1946266835346671,-3.32
61,61,2015-02,34477.41,13.9,10.6,9.7,9.9,7.3,4.8,3.8,3.1,53884.8,-34.8,-32.8,12.2,6.1,-7.7,176.6,-2.1,4.6,422.1,64,2015-04-30,4788.41,4749.89,4818.73,4749.48,39972744400.0,612511415165.0,0.0191457065321511,-0.1964656023613179,-0.2559659276320084,-0.3354056620258575,-4.8
62,62,2015-03,77511.25,13.5,10.4,9.1,8.2,2.4,3.9,-0.2,1.8,95891.21,-9.52,-16.11,19.0,-1.6,-7.0,245.1,3.5,4.7,658.3,65,2015-05-29,4839.53,4840.83,4924.3,4665.52,42787885900.0,636008152610.0,-0.0759849034153233,-0.3045531448119434,-0.2632647707108079,-0.3452445138540292,-4.56
63,63,2015-04,119978.5,12.0,9.9,8.6,7.3,2.6,3.6,2.4,2.0,134609.01,7.34,-10.59,26.0,-1.5,-1.4,209.6,-0.3,3.2,835.3,66,2015-06-30,4161.07,4473.0,4475.77,4016.01,52704528000.0,716045824698.0,-0.1467247932036665,-0.2839369550637156,-0.1658819584171696,-0.2948982785602504,-4.57
64,64,2015-05,171245.4,11.4,10.0,8.3,7.2,2.7,3.4,3.1,2.2,154593.47,-11.34,-14.97,32.0,-2.7,-5.7,198.4,-1.6,2.2,1033.9,67,2015-07-31,3777.16,3816.7,3863.62,3757.99,22237676700.0,299312543754.0,-0.1179448214426074,-0.0740482615872349,-0.2281054313936121,-0.1605496895223622,-4.61
65,65,2015-06,237131.87,11.4,9.7,8.3,8.4,4.0,3.5,4.9,2.7,195503.24,-6.17,-13.53,39.0,-4.9,-10.7,194.9,0.7,2.0,1229.6,68,2015-08-31,3307.4,3366.54,3368.28,3205.54,28025040300.0,306610891136.0,-0.0485929173572867,0.0593695604389075,-0.1452737825779584,-0.0115103340521722,-4.81
66,66,2015-07,288468.5,11.2,9.2,8.2,7.7,4.0,3.6,4.8,3.0,233413.0,-4.2,-12.0,45.0,-5.7,-13.0,156.2,-11.2,0.2,1385.9,69,2015-09-30,3195.9,3202.95,3223.91,3186.77,7855934900.0,95881598729.0,0.1033828189637677,0.1648667634524423,0.0047268923960723,0.015713638989057,-5.37
67,67,2015-08,338977.36,10.9,8.93,7.9,6.0,3.8,3.6,5.2,3.3,273634.37,1.51,-9.9,52.0,-5.7,-7.6,162.8,-6.5,-0.5,1548.4,70,2015-10-30,3530.22,3534.08,3574.47,3497.57,13914191400.0,183317149529.0,0.0091480668236145,-0.1663771052155015,-0.1067689469395146,-0.0559693045997826,-5.92
68,68,2015-09,394531.04,10.3,8.32,7.6,5.8,2.2,3.4,3.8,3.4,314753.68,-8.02,-9.67,57.0,-7.6,-15.5,195.1,-4.7,-0.9,1745.8,71,2015-11-30,3554.89,3566.41,3587.97,3455.07,17320116300.0,220098287801.0,0.0461528539904274,-0.1931746490167984,-0.1112743627345145,-0.0079659938145081,-5.95
69,69,2015-10,447424.88,10.2,8.34,7.5,6.7,1.7,3.2,4.6,3.5,356155.56,-5.55,-8.92,63.55,-8.06,-13.23,219.71,5.01,-0.35,1965.62,72,2015-12-31,3760.9,3731.01,3772.62,3727.32,10187355600.0,145043696235.0,-0.2103773509049828,-0.137474839252642,-0.1546739354759168,-0.1128193170213964,-5.9
70,70,2015-11,497182.15,10.2,8.43,7.5,7.2,2.5,3.1,2.2,3.4,398081.6,-1.4,-8.3,69.2,-9.1,-20.0,255.1,16.0,1.4,2223.7,73,2016-01-29,2855.6,2946.09,2965.31,2854.37,11330425900.0,109462356680.0,-0.0232918885709534,0.0715049438408195,0.0875193901068873,0.1499852346669652,-5.9
71,71,2015-12,551590.04,10.0,8.1,7.4,6.2,1.2,2.9,3.2,3.4,438878.1,12.1,-7.3,75.5,-9.3,-11.3,263.2,16.3,2.7,2483.8,74,2016-02-29,2939.58,2877.47,2939.87,2821.21,12934102000.0,118440829598.0,0.1183748223265579,0.1015093119997776,0.1564985907759246,0.1999464807626143,-5.9
72,72,2016-02,38007.8,10.2,7.5,8.2,6.2,1.2,3.9,3.2,3.5,67767.3,12.1,15.6,10.1,-12.9,-11.3,263.2,16.3,5.3,412.6,76,2016-04-29,3153.54,3156.75,3171.29,3149.4,5802977600.0,70807704222.0,0.0040579710144927,0.0149457511681316,0.056871782687891,0.0896491644887937,-4.9
73,73,2016-03,85842.83,10.7,6.4,8.3,8.2,6.0,4.8,4.1,3.8,100199.2,15.1,15.8,17.0,-7.6,-1.5,255.4,8.9,6.5,668.6,77,2016-05-31,3068.6,3169.56,3170.93,3068.6,13886311100.0,151398175957.0,-0.0049344388495563,0.0499217557011066,0.1162432640492687,0.1020078496699858,-4.3
