,Unnamed: 0,date_x,中国:固定资产投资完成额:累计值,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:工业增加值:金属制品业:累计同比,中国:工业增加值:金属制品业:当月同比,中国:工业增加值:通用设备制造业:当月同比,中国:工业增加值:通用设备制造业:累计同比,中国:工业增加值:专用设备制造业:当月同比,中国:工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:累计值,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计值,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月值,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:产量:汽车:累计值,month,date_y,open,close,high,low,volume,money,re1,re3,re6,re12,ppi_yoy
74,74,2016-04,132591.95,10.5,6.0,8.6,9.3,3.8,4.5,5.0,4.1,137859.6,14.8,16.1,23.7,-7.1,-4.3,220.2,4.3,5.5,889.3,78,2016-06-30,3152.83,3153.92,3163.72,3148.2,7969261700.0,100627912925.0,0.0158564579951296,0.0315036525974026,0.0495129870129869,0.1626166801948052,-3.4
75,75,2016-05,187670.98,9.6,4.6,8.6,8.6,4.2,4.4,5.7,4.5,159690.2,8.9,5.8,29.3,-8.2,-9.0,208.7,4.1,5.6,1099.3,79,2016-07-29,3217.19,3203.93,3225.42,3198.68,8804483700.0,103787029748.0,0.0386587721953974,0.0413086428230331,0.0574388329333037,0.1666515810270512,-2.8
76,76,2016-06,258359.96,9.0,3.3,8.7,8.9,4.9,4.5,6.9,4.9,204707.7,0.2,6.2,36.2,-6.7,-1.4,211.3,8.1,6.0,1311.4,80,2016-08-31,3310.57,3327.79,3333.97,3304.66,7957080500.0,99215044445.0,-0.0223902349607396,0.0631680484645966,0.0375684763762136,0.1485370170593698,-2.6
77,77,2016-07,311694.33,8.1,3.0,8.8,9.7,3.6,4.4,5.6,5.0,241106.3,4.0,4.6,42.5,-6.0,-1.6,197.8,25.4,8.1,1507.8,81,2016-09-30,3240.18,3253.28,3260.94,3239.04,4497802200.0,52655734553.0,0.0255127133231691,0.0174593026115181,0.0623278660305905,0.1792713814980573,-1.7
78,78,2016-08,366339.19,8.1,2.8,9.0,9.8,5.7,4.6,7.5,5.4,281409.3,3.8,4.0,50.1,-2.9,10.9,204.0,24.7,10.0,1713.7,82,2016-10-31,3332.41,3336.28,3340.47,3317.33,7135286300.0,80701820968.0,0.0604625511048233,0.0154903065689928,0.0310135839917511,0.2009543563489872,-0.8
79,79,2016-09,426906.44,8.2,3.1,8.8,7.9,7.0,4.9,7.8,5.7,322887.8,3.0,3.6,56.6,-2.4,14.1,257.6,31.5,12.3,1971.8,83,2016-11-30,3557.64,3538.0,3567.07,3527.02,17856017800.0,190681227631.0,-0.0644205765969474,-0.0240785754663651,-0.0127529677784058,0.1323063877897117,0.1
80,80,2016-10,484429.02,8.3,3.1,8.7,7.6,8.2,5.3,8.3,6.0,365117.5,4.6,3.5,63.6,-0.5,16.9,240.9,18.0,12.7,2088.7,84,2016-12-30,3302.6,3310.08,3313.55,3295.75,7174411600.0,76921368838.0,0.02352813225058,0.0440986320572314,0.1077677880897138,0.2177500241686001,1.2
81,81,2016-11,538547.98,8.3,3.6,8.5,6.6,8.6,5.7,10.7,6.5,409835.5,6.2,3.8,70.7,1.4,20.3,300.0,17.8,13.3,2526.1,85,2017-01-26,3378.26,3387.96,3395.88,3378.26,6531664700.0,66488818305.0,0.0191413121760586,0.0152864850824685,0.1032804401468729,0.2620869195622144,3.3
82,82,2016-12,596500.75,8.1,4.2,8.2,4.7,8.4,5.9,8.0,6.7,458103.7,9.2,4.7,78.32,2.2,4.6,298.2,12.7,13.1,2819.31,86,2017-02-28,3445.03,3452.81,3460.91,3441.36,7521526000.0,81979307361.0,0.0009383661423594,0.0116050405322043,0.1069505706945936,0.1653233163713032,5.5
83,83,2017-02,41377.89,8.9,4.3,8.4,4.7,8.4,10.6,8.0,11.5,54980.8,9.2,1.2,17.0,3.1,4.6,298.2,12.7,11.1,459.0,88,2017-04-28,3439.57,3439.75,3439.9,3417.24,10163235100.0,113761006698.0,0.0154458899629332,0.0866690893233519,0.164828839305182,0.0921956537539065,7.8
