,early_warning_idx,consistency_idx,leading_idx,lagging_idx,boom_idx,boom_idx_yoy,boom_idx_mom,confidence_idx,confidence_idx_yoy,confidence_idx_mom,cpi_month,interest_rate,growth_yoy,growth_acc,state_owned_yoy,state_owned_acc,private_yoy,private_acc,collective_yoy,collective_acc,stock_cooperate_yoy,stock_cooperate_acc,joint_stock_yoy,joint_stock_acc,foreign_yoy,foreign_acc
2016-09-21,67.1,94.20666666666666,99.59333333333333,89.55333333333333,111.78351648351648,11.783516483516484,3.2142857142857144,111.88351648351649,11.883516483516484,3.1362637362637362,102.03333333333333,2.167,6.1,6.0,3.2333333333333334,1.1333333333333333,6.666666666666667,8.033333333333333,-3.8,0.36666666666666664,3.466666666666667,6.466666666666667,6.666666666666667,6.9,5.266666666666667,4.266666666666667
2016-09-22,67.19,94.206,99.6,89.56899999999999,111.8076923076923,11.807692307692308,3.2,111.90769230769232,11.907692307692308,3.123076923076923,102.03999999999999,2.168,6.1,6.0,3.23,1.14,6.68,8.03,-3.8,0.35,3.5600000000000005,6.46,6.68,6.9,5.22,4.27
2016-09-23,67.28,94.20533333333333,99.60666666666667,89.58466666666666,111.83186813186813,11.831868131868132,3.185714285714286,111.93186813186813,11.931868131868132,3.10989010989011,102.04666666666667,2.1668,6.1,6.0,3.2266666666666666,1.1466666666666667,6.693333333333333,8.026666666666667,-3.8,0.3333333333333333,3.6533333333333333,6.453333333333333,6.693333333333333,6.9,5.173333333333334,4.273333333333333
2016-09-26,67.55,94.20333333333333,99.62666666666667,89.63166666666666,111.9043956043956,11.904395604395605,3.142857142857143,112.00439560439561,12.004395604395604,3.07032967032967,102.06666666666666,2.164,6.1,6.0,3.216666666666667,1.1666666666666665,6.733333333333333,8.016666666666666,-3.8,0.28333333333333327,3.9333333333333336,6.433333333333334,6.733333333333333,6.9,5.033333333333333,4.283333333333333
2016-09-27,67.64,94.20266666666667,99.63333333333333,89.64733333333332,111.92857142857143,11.928571428571429,3.1285714285714286,112.02857142857142,12.028571428571428,3.057142857142857,102.07333333333332,2.166,6.1,6.0,3.2133333333333334,1.1733333333333333,6.746666666666666,8.013333333333334,-3.8,0.2666666666666666,4.026666666666667,6.426666666666667,6.746666666666666,6.9,4.986666666666666,4.286666666666666
2016-09-28,67.73,94.202,99.64,89.663,111.95274725274724,11.952747252747253,3.1142857142857143,112.05274725274725,12.052747252747253,3.043956043956044,102.08,2.178,6.1,6.0,3.21,1.18,6.76,8.01,-3.8,0.24999999999999994,4.12,6.42,6.76,6.9,4.9399999999999995,4.29
2016-09-29,67.82,94.20133333333334,99.64666666666666,89.67866666666666,111.97692307692307,11.976923076923077,3.1,112.07692307692308,12.076923076923077,3.0307692307692307,102.08666666666666,2.188,6.1,6.0,3.206666666666667,1.1866666666666665,6.773333333333333,8.006666666666666,-3.8,0.23333333333333328,4.213333333333333,6.413333333333334,6.773333333333333,6.9,4.8933333333333335,4.293333333333333
2016-09-30,67.91,94.20066666666666,99.65333333333334,89.69433333333333,112.0010989010989,12.001098901098901,3.085714285714286,112.10109890109891,12.1010989010989,3.0175824175824175,102.09333333333333,2.327,6.1,6.0,3.2033333333333336,1.1933333333333334,6.786666666666666,8.003333333333334,-3.8,0.21666666666666662,4.306666666666667,6.406666666666667,6.786666666666666,6.9,4.846666666666667,4.296666666666667
2016-10-08,68.0,94.24516129032259,99.73677419354838,89.76193548387096,112.19450549450549,12.194505494505496,2.9714285714285715,112.2945054945055,12.294505494505495,2.912087912087912,102.14516129032258,2.193,6.12258064516129,6.0,3.425806451612903,1.267741935483871,6.709677419354839,7.95483870967742,-3.935483870967742,0.0870967741935484,5.122580645161291,6.422580645161291,6.754838709677419,6.9,4.980645161290322,4.32258064516129
2016-10-09,68.0,94.2516129032258,99.74774193548387,89.76935483870967,112.21868131868132,12.21868131868132,2.9571428571428573,112.31868131868131,12.31868131868132,2.898901098901099,102.1516129032258,2.175,6.125806451612903,6.0,3.458064516129032,1.2774193548387096,6.696774193548387,7.948387096774193,-3.954838709677419,0.07096774193548389,5.225806451612903,6.425806451612903,6.748387096774193,6.9,5.006451612903225,4.325806451612904
