id,stat_month,area_code,area_name,cpi_month,yoy,mom,acc
68,2017-07,701002,城市,101.5,0.015,0.001,101.5
69,2017-07,701003,农村,101,0.01,0.0,101.0
70,2017-06,701001,全国,101.5,0.015,-0.002,101.4
71,2017-06,701002,城市,101.7,0.017,-0.001,101.5
72,2017-06,701003,农村,101,0.01,-0.002,101.0
73,2017-05,701001,全国,101.5,0.015,-0.001,101.4
74,2017-05,701002,城市,101.7,0.017,-0.001,101.5
75,2017-05,701003,农村,101.1,0.011,-0.001,101.1
76,2017-04,701001,全国,101.2,0.012,0.001,101.4
77,2017-04,701002,城市,101.3,0.013,0.001,101.5
78,2017-04,701003,农村,100.8,0.008,0.0,101.1
79,2017-03,701001,全国,100.9,0.009,-0.003,101.4
80,2017-03,701002,城市,101,0.01,-0.003,101.5
81,2017-03,701003,农村,100.6,0.006,-0.004,101.1
82,2017-02,701001,全国,100.8,0.008,-0.002,101.7
83,2017-02,701002,城市,100.9,0.009,-0.002,101.8
84,2017-02,701003,农村,100.6,0.006,-0.001,101.4
85,2017-01,701001,全国,102.5,0.025,0.01,102.5
86,2017-01,701002,城市,102.6,0.026,0.01,102.6
87,2017-01,701003,农村,102.2,0.022,0.009,102.2
88,2016-12,701001,全国,102.1,0.021,0.002,102.0
89,2016-12,701002,城市,102.1,0.021,0.002,102.1
90,2016-12,701003,农村,101.9,0.019,0.003,101.9
91,2016-11,701001,全国,102.3,0.023,0.001,102.0
92,2016-11,701002,城市,102.3,0.023,0.001,102.0
93,2016-11,701003,农村,102,0.02,0.002,101.9
94,2016-10,701001,全国,102.1,0.021,-0.001,102.0
95,2016-10,701002,城市,102.2,0.022,-0.001,102.0
96,2016-10,701003,农村,101.8,0.018,-0.001,101.8
97,2016-09,701001,全国,101.9,0.019,0.007,102.0
98,2016-09,701002,城市,102,0.02,0.007,102.0
99,2016-09,701003,农村,101.6,0.016,0.007,101.8
100,2016-08,701001,全国,101.3,0.013,0.001,102.0
101,2016-08,701002,城市,101.4,0.014,0.001,102.0
102,2016-08,701003,农村,101,0.01,0.001,101.9
103,2016-07,701001,全国,101.8,0.018,0.002,102.1
104,2016-07,701002,城市,101.8,0.018,0.003,102.1
105,2016-07,701003,农村,101.5,0.015,0.0,102.0
106,2016-06,701001,全国,101.9,0.019,-0.001,102.1
107,2016-06,701002,城市,101.9,0.019,-0.001,102.1
108,2016-06,701003,农村,101.9,0.019,-0.001,102.1
109,2016-05,701001,全国,102,0.02,-0.005,102.1
110,2016-05,701002,城市,102,0.02,-0.005,102.2
111,2016-05,701003,农村,102.1,0.021,-0.004,102.1
112,2016-04,701001,全国,102.3,0.023,-0.002,102.2
113,2016-04,701002,城市,102.3,0.023,-0.002,102.2
114,2016-04,701003,农村,102.4,0.024,-0.002,102.1
115,2016-03,701001,全国,102.3,0.023,-0.004,102.1
116,2016-03,701002,城市,102.3,0.023,-0.004,102.1
117,2016-03,701003,农村,102.2,0.022,-0.004,102.0
118,2016-02,701001,全国,102.3,0.023,0.016,102.0
119,2016-02,701002,城市,102.3,0.023,0.016,102.1
120,2016-02,701003,农村,102.2,0.022,0.016,101.9
121,2016-01,701001,全国,101.8,0.018,0.005,101.8
122,2016-01,701002,城市,101.8,0.018,0.005,101.8
123,2016-01,701003,农村,101.5,0.015,0.005,101.5
124,2015-12,701001,全国,101.6,0.016,0.005,101.4
125,2015-12,701002,城市,101.7,0.017,0.005,101.5
126,2015-12,701003,农村,101.5,0.015,0.005,101.3
127,2015-11,701001,全国,101.5,0.015,0.0,101.4
128,2015-11,701002,城市,101.5,0.015,0.0,101.5
129,2015-11,701003,农村,101.3,0.013,0.0,101.3
130,2015-10,701001,全国,101.3,0.013,-0.003,101.4
131,2015-10,701002,城市,101.3,0.013,-0.003,101.5
132,2015-10,701003,农村,101.2,0.012,-0.003,101.3
133,2015-09,701001,全国,101.6,0.016,0.001,101.4
134,2015-09,701002,城市,101.6,0.016,0.001,101.5
135,2015-09,701003,农村,101.5,0.015,0.001,101.3
136,2015-08,701001,全国,102,0.02,0.005,101.4
137,2015-08,701002,城市,102,0.02,0.004,101.5
138,2015-08,701003,农村,101.8,0.018,0.006,101.2
139,2015-07,701001,全国,101.6,0.016,0.003,101.3
140,2015-07,701002,城市,101.7,0.017,0.003,101.4
141,2015-07,701003,农村,101.5,0.015,0.003,101.2
142,2015-06,701001,全国,101.4,0.014,0.0,101.3
143,2015-06,701002,城市,101.4,0.014,0.0,101.3
144,2015-06,701003,农村,101.2,0.012,0.001,101.1
145,2015-05,701001,全国,101.2,0.012,-0.002,101.3
146,2015-05,701002,城市,101.3,0.013,-0.002,101.3
147,2015-05,701003,农村,101,0.01,-0.001,101.1
148,2015-04,701001,全国,101.5,0.015,-0.002,101.3
149,2015-04,701002,城市,101.6,0.016,-0.002,101.3
150,2015-04,701003,农村,101.3,0.013,-0.003,101.1
151,2015-03,701001,全国,101.4,0.014,-0.005,101.2
152,2015-03,701002,城市,101.4,0.014,-0.005,101.2
153,2015-03,701003,农村,101.2,0.012,-0.006,101.0
154,2015-02,701001,全国,101.4,0.014,0.012,101.1
155,2015-02,701002,城市,101.5,0.015,0.013,101.2
156,2015-02,701003,农村,101.2,0.012,0.01,100.9
157,2015-01,701001,全国,100.8,0.008,0.003,100.8
158,2015-01,701002,城市,100.8,0.008,0.003,100.8
159,2015-01,701003,农村,100.6,0.006,0.002,100.6
160,2014-12,701001,全国,101.5,0.015,0.003,102.0
