id,day,currency_id,market_id,term_id,interest_rate,currency_name
887873,2017-07-12,1,5,20,2.646,人民币元CNY
887928,2017-07-13,1,5,20,2.659,人民币元CNY
887983,2017-07-14,1,5,20,2.627,人民币元CNY
888038,2017-07-17,1,5,20,2.6329,人民币元CNY
888093,2017-07-18,1,5,20,2.701,人民币元CNY
888148,2017-07-19,1,5,20,2.722,人民币元CNY
888203,2017-07-20,1,5,20,2.7534,人民币元CNY
888258,2017-07-21,1,5,20,2.733,人民币元CNY
888313,2017-07-24,1,5,20,2.708,人民币元CNY
888368,2017-07-25,1,5,20,2.7147,人民币元CNY
888423,2017-07-26,1,5,20,2.725,人民币元CNY
888478,2017-07-27,1,5,20,2.786,人民币元CNY
888533,2017-07-28,1,5,20,2.8152,人民币元CNY
888588,2017-07-31,1,5,20,2.806,人民币元CNY
888643,2017-08-01,1,5,20,2.8093,人民币元CNY
888698,2017-08-02,1,5,20,2.832,人民币元CNY
888753,2017-08-03,1,5,20,2.807,人民币元CNY
888808,2017-08-04,1,5,20,2.721,人民币元CNY
888863,2017-08-07,1,5,20,2.736,人民币元CNY
888918,2017-08-08,1,5,20,2.784,人民币元CNY
888973,2017-08-09,1,5,20,2.8018,人民币元CNY
889028,2017-08-10,1,5,20,2.797,人民币元CNY
889083,2017-08-11,1,5,20,2.79,人民币元CNY
889142,2017-08-14,1,5,20,2.7743,人民币元CNY
889193,2017-08-15,1,5,20,2.798,人民币元CNY
889220,2017-08-16,1,5,20,2.8213,人民币元CNY
889264,2017-08-17,1,5,20,2.8352,人民币元CNY
889358,2017-08-21,1,5,20,2.8482,人民币元CNY
889413,2017-08-22,1,5,20,2.8171,人民币元CNY
889468,2017-08-23,1,5,20,2.8453,人民币元CNY
889523,2017-08-24,1,5,20,2.8479,人民币元CNY
889578,2017-08-25,1,5,20,2.855,人民币元CNY
889605,2017-08-28,1,5,20,2.851,人民币元CNY
889653,2017-08-29,1,5,20,2.922,人民币元CNY
889708,2017-08-30,1,5,20,2.9237,人民币元CNY
889763,2017-08-31,1,5,20,2.831,人民币元CNY
889814,2017-09-01,1,5,20,2.813,人民币元CNY
889868,2017-09-04,1,5,20,2.75,人民币元CNY
889923,2017-09-05,1,5,20,2.665,人民币元CNY
889978,2017-09-06,1,5,20,2.641,人民币元CNY
890033,2017-09-07,1,5,20,2.6406,人民币元CNY
890088,2017-09-08,1,5,20,2.636,人民币元CNY
890143,2017-09-11,1,5,20,2.644,人民币元CNY
890198,2017-09-12,1,5,20,2.6483,人民币元CNY
890253,2017-09-13,1,5,20,2.65,人民币元CNY
890308,2017-09-14,1,5,20,2.681,人民币元CNY
890363,2017-09-15,1,5,20,2.6958,人民币元CNY
890418,2017-09-18,1,5,20,2.756,人民币元CNY
890473,2017-09-19,1,5,20,2.832,人民币元CNY
890528,2017-09-20,1,5,20,2.79,人民币元CNY
890583,2017-09-21,1,5,20,2.8057,人民币元CNY
890638,2017-09-22,1,5,20,2.756,人民币元CNY
890693,2017-09-25,1,5,20,2.758,人民币元CNY
890748,2017-09-26,1,5,20,2.837,人民币元CNY
890803,2017-09-27,1,5,20,2.863,人民币元CNY
890858,2017-09-28,1,5,20,2.917,人民币元CNY
890909,2017-09-29,1,5,20,2.804,人民币元CNY
890924,2017-09-30,1,5,20,2.938,人民币元CNY
891186,2017-10-09,1,5,20,2.74,人民币元CNY
891241,2017-10-10,1,5,20,2.738,人民币元CNY
891296,2017-10-11,1,5,20,2.741,人民币元CNY
891351,2017-10-12,1,5,20,2.657,人民币元CNY
891406,2017-10-13,1,5,20,2.605,人民币元CNY
891461,2017-10-16,1,5,20,2.594,人民币元CNY
891516,2017-10-17,1,5,20,2.6003,人民币元CNY
891567,2017-10-18,1,5,20,2.596,人民币元CNY
891604,2017-10-31,1,5,20,2.736,人民币
891661,2017-10-30,1,5,20,2.72,人民币
891711,2017-10-27,1,5,20,2.7181,人民币
891736,2017-11-01,1,5,20,2.739,人民币
891790,2017-11-02,1,5,20,2.626,人民币
