指标名称,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比
1989/2/28,,,41.65,,20.45,,,,,,,,,,-13.5,
1989/3/31,,,65.57,4.1,24.06,,,,,,,,,,-9.2,
1989/4/30,,,88.7,4.2,23.11,,,,,,,,,,-5,
1989/5/31,,,113.06,4.9,24.29,,,,,,,,,,-4.9,
1989/6/30,,,136.05,5.6,22.91,,,,,,,,,,-5,
1989/7/31,,,159.72,8.2,23.79,,,,,,,,,,-1.3,
1989/8/31,,,184.76,10.9,24.8,,,,,,,,,,0.5,
1989/9/30,,,210.75,12.1,26.01,,,,,,,,,,2.1,
1989/10/31,,,240.13,13,29.36,,,,,,,,,,2.9,
1989/11/30,,,267.51,13.3,27.13,,,,,,,,,,3.4,
1989/12/31,,,298.33,15,29.12,,,,,,,,,,4.1,
1990/1/31,,,25.54,20.3,25.54,,,,,,,,,,5.3,
1990/2/28,,,49.04,17.7,23.73,,,,,,,,,,11.3,
1990/3/31,,,78.68,20,29.85,,,,,,,,,,14.2,
1990/4/30,,,106.67,20.3,28.01,,,,,,,,,,13.2,
1990/5/31,,,138.22,22.3,31.54,,,,,,,,,,15.2,
1990/6/30,,,167.46,23.1,29.25,,,,,,,,,,17,
1990/7/31,,,213.78,33.8,28.56,,,,,,,,,,16.1,
1990/8/31,,,244.39,32.3,30.44,,,,,,,,,,14.5,
1990/9/30,,,276.16,31,31.76,,,,,,,,,,13,
1990/10/31,,,310.96,29.5,34.73,,,,,,,,,,11.9,
1990/11/30,,,342.84,28.2,31.87,,,,,,,,,,11,
1990/12/31,,,374.56,25.6,31.64,,,,,,,,,,11,
1991/1/31,,,29.72,16.4,29.72,,,,,,,,,,22.5,
1991/2/28,,,61.07,24.5,31.35,,,,,,,,,,17.3,
1991/3/31,,,94.96,20.5,33.89,,,,,,,,,,8.49,
1991/4/30,,,127.33,19.4,32.37,,,,,,,,,,5.4,
1991/5/31,,,159.59,15.5,32.28,,,,,,,,,,4.5,
1991/6/30,,,191.67,14.5,32.06,,,,,,,,,,3.2,
1991/7/31,,,221.66,3.7,30.01,,,,,,,,,,3,
1991/8/31,,,253.42,3.7,31.75,,,,,,,,,,3.8,
1991/9/30,,,286.74,3.8,33.34,,,,,,,,,,4.1,
1991/10/31,,,322.21,3.6,35.45,,,,,,,,,,4.9,
1991/11/30,,,356.53,4,34.33,,,,,,,,,,3.8,
1991/12/31,,,389.43,3.97,32.9,,,,,,,,,,3.78,
1992/1/31,,,27.12,-8.7,27.12,,,,,,,,,,-14.6,
1992/2/29,,,66.49,8.9,37.68,,,,,,,,,,-8.6,
1992/3/31,,,102.53,8.2,36.08,,,,,,,,,,9.4,
1992/4/30,,,139.32,9.4,36.77,,,,,,,,,,8,
1992/5/31,,,177.93,11.5,38.59,,,,,,,,,,8.7,
1992/6/30,,,217.57,13.5,39.63,,,,,,,,,,10.3,
1992/7/31,,,255.18,15.1,37.62,,,,,,,,,,9,
1992/8/31,,,287.87,13.6,33.89,,,,,,,,,,6,
1992/9/30,,,325.01,13.3,37.16,,,,,,,,,,4.1,
1992/10/31,,,365,13.3,39.97,,,,,,,,,,3.9,
1992/11/30,,,408.12,14.5,43.11,,,,,,,,,,4.4,
1992/12/31,,,450.61,16,40.98,,,,,,,,,,4,
1993/1/31,,,38.24,41,38.24,,,,,,,,,,16.7,
1993/2/28,,,78.34,17.8,40.19,,,,,,,,,,25.4,
1993/3/31,,,122.36,19.3,44.03,,,,,,,,,,-29.8,
1993/4/30,,,164.27,17.9,41.93,,,,,,,,,,12.3,
1993/5/31,,,209.67,17.8,45.42,,,,,,,,,,11.2,
1993/6/30,,,254.13,16.8,44.47,,,,,,,,,,8.8,
1993/7/31,,,295.61,15.8,41.49,,,,,,,,,,10.5,
1993/8/31,,,336.95,17,41.36,,,,,,,,,,12.3,
1993/9/30,,,382.05,17.6,44.93,,,,,,,,,,10.4,
1993/10/31,,,430.9,18.1,48.65,,,,,,,,,,14.2,
1993/11/30,,,479.27,17.4,48.38,,,,,,,,,,15.2,
1993/12/31,,,526.64,16.9,47.55,,,,,,,,,,19.7,
1994/1/31,,,48.02,25.6,48.02,,,,,,,,,,11,
1994/2/28,,,96.31,22.94,48.55,,,,,,,,,,10.19,
1994/3/31,,,143.62,17.37,48.99,,,,,,,,,,67.83,
1994/4/30,,,193.11,17.56,49.48,,,,,,,,,,5.13,
1994/5/31,,,242.94,15.87,49.89,,,,,,,,,,5.34,
1994/6/30,,,289.08,13.75,46.13,,,,,,,,,,7,
1994/7/31,,,330.97,11.96,41.94,,,,,,,,,,4.61,
1994/8/31,,,371.36,10.21,40.41,,,,,,,,,,3.8,
1994/9/30,,,419.18,9.72,48.16,,,,,,,,,,6.83,
1994/10/31,,,470.01,9.08,50.81,,,,,,,,,,3.61,
1994/11/30,,,519.95,8.49,49.97,,,,,,,,,,2.26,
1994/12/31,,,568.37,7.92,48.23,,,,,,,,,,-2.3,
1995/1/31,,,45.83,-4.56,45.83,,,,,,,,,,-1.46,
1995/2/28,,,90.51,-6.02,44.83,,,,,,,,-49.890877,,-5.36,
1995/3/31,,,138.91,-3.28,48.45,,,,,,,,-44.535065,,7.46,
1995/4/30,,,187.82,-2.74,48.91,,,,,,,,167.857822,,9.33,
1995/5/31,,,233.86,-3.74,46.05,,,,,,,,41.252498,,10.64,
1995/6/30,,,282.63,-2.23,47.38,,,,,,,,9.184157,,10.29,
1995/7/31,,,303.76,-8.22,42,,,,,,,,1.878056,,14.59,
1995/8/31,,,368.81,-0.69,42.65,,,,,,,,-35.634076,,16.24,
1995/9/30,,,417.3,-0.45,48.49,,,,,,,,47.922704,,15.75,
1995/10/31,,,469.41,-0.13,52.16,,,,,,,,-5.395099,,15.63,
1995/11/30,,,521.53,0.3,52.11,,,,,,,,13.464041,,18.09,
1995/12/31,,,574.44,1.07,52.91,,,,,,,,49.15417,,20.03,
1996/1/31,,,50.02,9.14,50.02,,,,,-89.42881,-89.42881,-31.785645,-61.743821,,31.65,
1996/2/29,,,98.81,9.17,48.68,,,,,246.726453,-3.783804,123.335145,64.058259,,21.21,
1996/3/31,,,156.69,12.8,57.19,,,,,-49.072228,-29.113951,223.638774,-19.624815,,11.27,
1996/4/30,,,210.29,11.96,53.59,,,,,55.654751,-13.494601,32.916359,10.007481,,15.96,
1996/5/31,,,264.33,13.03,54.06,,,,,14.3476,-5.232496,44.659957,53.732622,,23.11,
1996/6/30,,,316.79,12.09,52.44,,,,,-46.854709,-13.158261,-15.474915,-36.203492,,20.43,
1996/7/31,,,364.54,20.01,47.78,,,,,-82.153146,-22.081534,-21.116636,-4.921909,,16.82,
1996/8/31,,,413.69,12.17,49.31,,,,,338.376173,-11.939684,58.54443,29.366424,,16.53,
1996/9/30,,,468.97,12.38,55.27,,,,,-89.680266,-21.756565,-32.013292,-36.56808,,18.56,
1996/10/31,,,526.45,12.15,57.47,,,,,45.95008,-17.180493,-8.641257,27.12757,,15.65,
1996/11/30,,,582.91,11.77,56.48,,,,,842.134015,-8.936859,-45.224836,-31.971356,,12.8,
1996/12/31,,,638.51,11.15,55.58,,,,,-77.2752,-16.715411,-13.311771,136.054261,,12.08,
1997/1/31,,,56.88,6.69,56.88,6.69,,,,1154.788333,1154.788333,22.716941,-45.844075,,18.85,18.85
1997/2/28,,,112.76,13.8,57.9,16.7,,,,-89.491574,12.386187,0.849402,34.823906,,34.19,48.66
1997/3/31,,,172.62,10.12,60.09,5.4,,,,-6.485456,4.802959,-5.873072,-24.982508,,-33.23,-64.26
1997/4/30,,,246.49,9.8,59.87,7.4,,,,32.189041,13.882764,-26.995976,-14.679157,,-25.69,15.04
1997/5/31,,,305.43,9.3,58.78,6.9,,,,35.468703,21.611807,-38.046712,30.461867,,-21.43,-0.8
1997/6/30,,,361.13,8.4,55.66,4.8,,,,31.138834,22.722028,26.646855,30.414825,,-15.84,26.4
1997/7/31,,,413.64,9.1,52.52,11.8,,,,889.454093,48.397206,104.964185,53.873568,,-12.28,17.46
1997/8/31,,,468.26,-9.3,54.58,11.7,,,,109.706473,56.984487,10.607742,-30.188154,,-9.92,10.46
1997/9/30,,,526.54,8.9,58.31,5.9,,,,1323.552802,78.079266,22.119105,-29.966482,,-6.92,16.79
1997/10/31,,,587.69,8.5,60.91,4.4,,,,33.356934,72.752572,61.329773,67.946382,,18.69,22.99
1997/11/30,,,645.68,8,57.99,3.8,,,,-46.410876,60.925433,114.827554,-9.412708,,17.22,1.57
1997/12/31,,,703.23,7.3,57.64,0.3,,,,565.456136,76.595014,-10.150538,-1.272681,,17.1,12.99
1998/1/31,,,55.9,2.3,55.9,2.3,,,,-23.061713,-23.061713,-51.26915,-70.627934,,10.31,10.31
1998/2/28,,,114.09,4.3,59.19,7.2,,,,1234.987024,84.938126,-16.033747,132.309885,,11.9,13.33
1998/3/31,,,175.35,3.1,59.47,2.8,,,,-68.254065,30.011029,-2.465531,-12.860335,,9.65,5.84
1998/4/30,,,233.01,2.4,57.64,0.24,,,,-56.345057,-3.222542,131.342153,102.372637,,8.45,5.02
1998/5/31,,,292.9,1.9,62.21,3.9,,,,-86.556085,-36.460769,71.535022,-3.26545,,10.01,15.93
1998/6/30,,,349.08,1.7,56.64,1.5,,,,71.669028,-22.995765,-4.586848,-27.45919,,10.48,12.52
1998/7/31,,,401.32,1.34,52.11,-1.26,,,,-5.553301,-19.550629,-21.125321,27.201839,,11.36,16.84
1998/8/31,,,458.78,1.7,54.5,0.17,,,,-27.260887,-20.993255,-22.301923,-31.229562,,12.03,16.57
1998/9/30,,,519.15,1.89,59.21,1.4,,,,-82.888575,-29.23396,57.24732,41.735593,,12.44,15.85
1998/10/31,,,582.12,2.07,62.97,3.5,,,,-51.327846,-31.265365,4.10618,11.189534,,12.63,13.89
1998/11/30,,,645.05,2.64,62.92,8.21,,,,48.698206,-28.622465,36.187866,18.502955,,13.47,22.56
1998/12/31,,,719.99,2.64,63.14,6.57,,,,11.232623,-23.958078,44.36721,4.65681,,12.74,14.9
1999/1/31,,,63.07,7.99,63.07,7.99,,,,-11.371923,-11.371923,310.32903,-16.516977,,26.99,26.99
1999/2/28,,,126.72,5.34,63.39,2.2,,,,-59.845694,-41.410755,174.581148,55.455526,,16.46,6.66
1999/3/31,,,196.97,6.77,70.25,11.2,,,,-83.993805,-45.138916,157.224763,-18.368468,,14.57,11.13
1999/4/30,,,264.61,8.2,67.63,12.6,,,,9.598891,-35.636574,-4.445708,-24.822269,,16.46,22.21
1999/5/31,,,331.16,7.25,66.55,4.31,,,,-89.918148,-40.21751,7.084488,8.407163,,16.02,14.61
1999/6/30,,,394.61,9.11,63.42,8.25,,,,-53.129668,-43.802082,77.153863,20.006968,,14.88,9.67
1999/7/31,,,455.51,9.63,60.9,13.1,,,,-53.503357,-46.05161,-2.916024,-30.290765,,14.95,15.13
1999/8/31,,,516.31,8.75,60.77,7.6,,,,-98.053152,-55.009479,85.178421,31.173048,,14.91,14.64
1999/9/30,,,576.27,7.32,59.96,-3.43,,,,322.051557,-42.870574,49.707036,14.58579,,14.54,11.68
1999/10/31,,,634.32,5.53,58.26,-9.07,,,,-88.323439,-45.829885,49.124175,10.756635,,14.61,14.72
1999/11/30,,,696.83,4.4,62.51,-5.8,,,,-95.520268,-49.251295,17.91276,-6.299495,,14.75,16.93
1999/12/31,,,765.37,3.59,59.19,-2.9,,,,-98.107207,-57.615159,-3.851161,-14.660374,,15.22,13.48
2000/1/31,,,60.46,3.85,60.46,3.85,,,,139.260604,139.260604,19.489985,3.749408,,12.12,12.12
2000/2/29,,,126.22,2.78,59.44,-2.11,,,,-5.325138,77.853881,-31.068592,-10.320783,,16.5,21.4
2000/3/31,,,199.33,2.03,71.81,0.9,,,,1450.616125,112.919136,44.838314,71.523747,,16.71,17.1
2000/4/30,,,267.23,2.06,67.9,2.1,,,,-96.31673,51.068182,-0.175916,-48.18672,,15.41,49.19
2000/5/31,,,336.62,2.81,69.39,4.66,,,,5016.644625,121.738618,-4.68481,3.510585,,13.6,6.92
2000/6/30,,,406.11,3.99,69.49,10.12,,,,-37.53036,84.862311,36.287911,71.593835,,14,15.92
2000/7/31,,,471.53,4.61,65.35,8.5,,,,-96.49942,48.617035,37.148531,-29.85057,,13.12,8.22
2000/8/31,,,542.94,6.08,71.41,17,,,,8038.853235,108.177653,-25.927576,-29.154869,,12.62,9.35
2000/9/30,,,614.7,7.63,71.75,21.03,,,,196.427853,129.166531,-44.881213,-14.734399,,12.65,12.86
2000/10/31,,,689.5,8.77,74.77,19.05,,,,-75.217054,126.298191,-41.724366,17.100058,,12.64,12.59
2000/11/30,,,763.2,9.61,72.02,14.9,,,,13408.68524,207.028371,7.604806,73.016129,,12.73,13.36
2000/12/31,,,834.32,10.01,80.5,16.4,,,,9486.300858,277.969215,-24.917892,-40.453598,,12.46,9.37
2001/1/31,,,79.28,7.8,79.28,7.8,,,,-37.799725,-37.799725,-31.499049,-5.344518,,12.2,12.2
2001/2/28,,,161.46,10.3,81.76,12.3,,,,210.96053,18.439947,16.191214,52.113759,,8.6,5
2001/3/31,,,248.78,10.7,87.33,11.5,,,,182.949172,49.042773,-19.176793,19.312801,,9.5,11.2
2001/4/30,,,333.35,10.7,84.49,10.5,,,,2822.337596,69.030658,52.924047,-1.965081,,9.8,10.9
2001/5/31,,,418.52,10.3,85.19,9.1,,,,-98.982325,13.854067,-3.914271,-34.961896,,10.4,12.6
2001/6/30,,,449.12,10.5,72.47,5.6,,,,94.767975,20.184888,-26.39722,31.442863,,9.8,7
2001/7/31,,,511.26,-2,63.8,-11.3,,,,0.463102,20.092051,-2.853903,-7.411876,,9.6,8.2
2001/8/31,,,586.03,-2.3,74.79,-4,,,,-67.74738,-5.506666,93.636871,41.212358,,10,12.5
2001/9/30,,,665.19,-2,75.88,-4.2,,,,-99.226368,-34.338498,59.811055,-29.629179,,9.9,8.8
2001/10/31,,,747.25,-1.7,82.06,0.8,,,,8102.99302,-21.831923,27.62523,-6.483805,,9.5,6.3
2001/11/30,,,827.78,-1.7,80.53,-1.5,,,,-99.554426,-42.616498,-23.628588,3.533495,,9.3,7.9
2001/12/31,,,906.04,-0.8,81.02,0.3,,,,-76.145594,-49.117778,106.689404,61.154678,,10.3,20.1
2002/1/31,,,79.78,13.1,79.78,13.1,,,,-23.963602,-23.963602,21.554226,-44.333025,,11.4,11.4
2002/2/28,,,158.18,9.5,79.31,6.7,,,,-54.731148,-42.226164,0.877359,26.238592,,12,12.6
2002/3/31,,,239.63,7.7,80.28,4.6,,,,152.982865,26.713424,-2.247068,15.617382,,10.9,8.9
2002/4/30,,,322.72,8.6,83.09,11.3,,,,-95.327017,11.506567,-14.323287,-14.076136,,11.6,13.8
2002/5/31,,,408.41,9.5,85.69,13.1,,,,7836.016609,34.474903,3.87008,-21.151118,,12.3,14.8
2002/6/30,,,485.93,9.5,77.53,9.4,,,,420.115764,83.372507,28.973141,63.209645,,13.2,16.4
2002/7/31,,,565.39,11.6,79.45,26.4,,,,9507.911187,120.485805,-16.233527,-39.865149,,14.1,20.9
2002/8/31,,,650.18,12,84.8,15,,,,1194.941575,227.362018,-11.211137,49.679033,,13.9,13.4
2002/9/30,,,738.42,12.9,88.24,19.2,,,,15298.77601,281.990452,36.43916,8.136713,,13.8,12.5
2002/10/31,,,830.91,13.1,92.49,15.2,,,,168.680756,263.715075,-15.435546,-42.039031,,14.5,21
2002/11/30,,,924.59,13.6,93.68,18,,,,29173.6592,323.745851,20.835061,47.940129,,15.3,22.7
2002/12/31,,,1033.15,12.99,94.48,16.1,,,,366.944315,327.672734,7.722744,43.667111,,15.5,18
2003/1/31,,,83.07,5.2,83.07,5.2,,,,266.529684,266.529684,-15.452815,-56.309264,,10.7,10.7
2003/2/28,,,175.83,9.9,90.93,11.6,,,,346.042256,303.510197,-14.474622,27.699145,,10.3,10.1
2003/3/31,,,265.1,10.2,89.28,6.1,,,,-7.578612,84.168271,-10.067854,21.574666,,10.4,11.5
2003/4/30,,,364,11.5,94.85,14.4,,,,12137.83235,147.111436,-40.966027,-43.597175,,11,12
2003/5/31,,,459.07,11.1,95.05,9.3,,,,196.563431,155.678214,88.612733,151.921094,,10.8,10.2
2003/6/30,,,547.73,11.4,88.67,13.2,,,,-65.331554,76.193832,12.466629,-2.680809,,10,6
2003/7/31,,,632.46,10.7,84.72,6.6,,,,56.783781,72.863064,25.014427,-33.155959,,11.2,17.3
2003/8/31,,,724.04,10.4,91.56,8.4,,,,-43.085567,27.240464,9.366357,30.943692,,12.2,19
2003/9/30,,,814.45,9.6,90.41,3.2,,,,-67.541642,13.391261,-21.556783,-22.438748,,12.2,12.2
2003/10/31,,,912.54,9.3,98.02,6.5,,,,-47.347048,6.154616,99.28543,47.250165,,12.4,13.9
2003/11/30,,,1010.78,9.2,98.2,9,,,,-51.939554,-2.178948,9.952988,-18.376074,,12.3,11.4
2003/12/31,,,1133.56,9.72,96.75,6.7,,,,45.873122,2.590248,16.809123,52.625494,,12.7,16.6
2004/1/31,,,93.87,8,93.87,8,,,,-62.316582,-62.316582,57.591165,-41.05534,,14.4,14.4
2004/2/29,,,195.18,12.1,101.31,16.2,,,,-7.613819,-34.193178,50.195321,21.70615,,16.7,19.2
2004/3/31,,,294.32,11,98.94,8.8,,,,-39.414065,-36.040486,18.015917,-4.472752,,17.5,18.9
2004/4/30,,,403.67,12.7,109.36,17.6,,,,16.701916,-22.400904,154.379366,21.574405,,16.8,14.8
2004/5/31,,,510.81,13.7,107.11,17.4,,,,-10.409768,-19.991454,-20.873972,-21.63863,,17,17.7
2004/6/30,,,615.35,14.7,104.49,20,,,,66.117481,-13.898018,35.491583,66.644675,,16.9,16.2
2004/7/31,,,714.09,15.1,98.74,17.9,,,,-99.382703,-27.202717,58.975562,-21.570265,,15.9,10.8
2004/8/31,,,814.88,14.7,100.8,12,,,,-78.395395,-36.212605,-1.674793,-19.012297,,14.2,9.1
2004/9/30,,,923.66,15.3,108.78,19.4,,,,-97.512131,-38.776514,-2.736328,-23.276111,,13.8,10.3
2004/10/31,,,1044.24,15.3,113.01,16.5,,,,97.760234,-30.707733,-24.999623,13.545146,,13.6,12.4
2004/11/30,,,1154.95,14.9,111.08,12.3,,,,-15.2039,-29.615053,-5.232456,3.136802,,13.7,14.8
2004/12/31,,,1334.7,17.74,111.45,14.3,,,,-64.613035,-34.554125,-16.976791,33.71095,,14.52,12.7
2005/1/31,,,110.72,14.7,110.72,14.7,,,,-98.134485,-98.134485,7.338216,-23.792217,,17.4,17.4
2005/2/28,,,222.09,12.2,111.36,9.7,,,,-99.678627,-99.24899,-21.642917,-11.1543,,14.4,11.3
2005/3/31,,,332.79,11.7,110.8,10.9,,,,-97.689302,-98.726233,34.135745,63.528528,,16.4,20
2005/4/30,,,453.42,12.4,119.78,13.5,,,,-19.846467,-68.04816,9.269979,-0.96277,,15.9,14.7
2005/5/31,,,577.41,13.6,121.3,10.3,,,,-99.162987,-75.048985,97.691712,41.771724,,16.2,17.2
2005/6/30,,,695.51,13.8,118.12,14.6,,,,-99.352986,-78.36712,-15.570645,-28.830085,,16.8,19.7
2005/7/31,,,805.41,13,109.87,14.2,,,,18.552888,-78.239208,14.847179,6.686043,,17.5,21.1
2005/8/31,,,919.08,13.3,113.67,13,,,,-12.43732,-74.316722,29.921774,-8.382024,,18.3,23.2
2005/9/30,,,1041.22,13.2,122.13,12.9,,,,-37.53774,-74.254212,73.654932,2.550029,,18.1,17.2
2005/10/31,,,1164.9,12.2,123.66,3.9,,,,-99.724876,-78.550099,40.594193,-8.071784,,17.9,16
2005/11/30,,,1293.98,12.8,129.07,18,,,,-66.003781,-77.484813,59.115126,16.723351,,22.3,33.5
2005/12/31,,,1421.08,12.7,127.08,12.8,,,,96.386478,-64.217247,11.361782,-6.418138,,23.2,32.8
2006/1/31,,,121.52,9.7,121.52,9.7,,,,8658.261097,8658.261097,21.674635,-16.734863,,39.9,39.9
2006/2/28,,,246.96,10.7,125.45,11.7,,,,59.100564,6002.344766,71.259379,25.052025,,44,48.3
2006/3/31,,,384.08,14,135.51,20.3,,,,2613.846763,3942.084176,0.394176,-4.137735,,45.3,47.8
2006/4/30,,,508.45,10.7,126.74,3.5,,,,-99.296808,-0.845731,0.35493,-1.001486,,48.5,57.8
2006/5/31,,,636.83,10.1,128.39,8.1,,,,-55.113827,-1.255341,-27.279602,2.732334,,49.3,52.3
2006/6/30,,,767.89,10.6,130.84,13.1,,,,7.465925,-1.219729,-6.586046,-8.577738,,50.6,53.9
2006/7/31,,,905.45,11.2,130.74,15.1,,,,9812.660983,69.342779,-6.323978,6.985345,,49.5,43.5
2006/8/31,,,1035.53,11.4,130.06,12.5,,,,173.259129,90.461884,13.539311,11.044871,,51,56.4
2006/9/30,,,1171.74,11.2,138.01,11.3,,,,21175.1341,177.40459,22.75725,10.875779,,53,68.5
2006/10/31,,,1311.2,11.1,139.47,10.4,,,,30726.74563,243.491786,-9.050615,-31.891479,,53.7,59.5
2006/11/30,,,1456.23,10.8,145.05,8.4,,,,271.002489,247.018795,-6.011153,20.62416,,53.9,50.9
2006/12/31,,,1597.22,10.8,143.08,10.1,,,,-99.684882,101.821126,-5.807287,-6.215155,,54,54.8
2007/1/31,,,135.47,11.6,135.47,11.6,,,,-99.041,-99.041,15.198509,1.833988,,43.3,43.3
2007/2/28,,,271.39,8.8,135.91,6,,,,-75.514072,-98.851549,-21.621495,-14.917381,,47.1,51
2007/3/31,,,413.8,9.1,142.44,9.8,,,,62.869505,-32.833687,17.712687,43.970656,,53.7,65.3
2007/4/30,,,554.97,10.6,140.22,14.3,,,,2528.65127,-15.110434,-28.956999,-40.251542,,56.9,65.3
2007/5/31,,,692.69,10.3,137.72,9.3,,,,5736.44983,4.623358,16.512987,68.484591,,55.4,47.6
2007/6/30,,,835.5,10.7,140.27,11.4,,,,40.07866,4.780864,-5.357727,-25.738659,,58.1,50
2007/7/31,,,969.75,8.6,134.21,2.3,,,,-99.231576,-38.995742,-27.719797,-18.293145,,54.7,37.4
2007/8/31,,,1109.23,8.5,139.51,8.4,,,,-51.265352,-42.573319,-19.116481,24.262241,,51.7,44.3
2007/9/30,,,1275.41,10.6,154.57,16.4,,,,-99.570266,-60.598372,-27.906238,-1.17329,,50.7,43.9
2007/10/31,,,1433.19,11,157.79,14.2,,,,-99.737292,-68.197008,25.470181,18.534366,,49.7,41.2
2007/11/30,,,1597.53,11.5,164.34,15.7,,,,-97.179991,-72.16958,-3.95519,-7.664718,,48.7,38.1
2007/12/31,,,1771.79,13.1,177.34,29,,,,-12.403609,-72.1305,6.78743,4.274688,,47.7,36.1
2008/1/31,,,154.76,11.66,154.76,11.66,,,,-62.082538,-62.082538,1.051448,-3.635925,,24.92,24.92
2008/2/29,,,306.99,12.2,152.21,12.8,,,,1003.738288,120.904997,15.57737,-2.686943,,26.5,28.1
2008/3/31,,,475.12,14.8,167.91,19.6,,,,-98.985863,-96.760873,-1.574791,22.604814,,26.1,25.5
2008/4/30,,,637.66,14.2,158.64,13.2,,,,-98.549993,-97.1442,45.10886,-11.9125,,18.6,7.3
2008/5/31,,,805.38,14.7,167.77,17,,,,-99.15403,-97.528884,25.634075,45.872594,,18,15.8
2008/6/30,,,967.43,15,161.98,16.4,,,,-43.563084,-97.208387,38.111099,-18.363585,,19.1,24.2
2008/7/31,,,1118.74,14.6,151.92,14,,,,-78.349245,-97.108405,92.670785,13.984495,,20.5,30.3
2008/8/31,,,1284.79,14.2,166.01,11.5,,,,-98.443247,-97.438708,67.593523,8.088762,,21.3,24.4
2008/9/30,,,1447.71,13.3,162.89,6.7,,,,-24.614447,-97.187527,36.667767,-19.40962,,21.3,21.6
2008/10/31,,,1617.95,12.8,170.08,8.4,,,,240.158071,-96.646515,8.032845,-6.301207,,20.4,12.9
2008/11/30,,,1743.71,9.3,130.58,-20.6,,,,-85.839786,-96.496424,-9.682095,-22.805613,,18.2,-2.8
2008/12/31,,,1881.33,6.4,137.6,-20.1,,,,-88.53864,-96.480069,12.522493,29.91054,,17.7,3.5
2009/1/31,,,129.31,-14.51,129.31,-14.51,,,,-80.715999,-80.712573,11.397504,-4.599363,,-15.05,-15.05
2009/2/28,,,263.82,-12.2,134.49,-9.9,,,,-78.874959,-79.136712,47.455766,28.812324,,-7.5,0.3
2009/3/31,,,417.88,-11.1,155.26,-8.3,,,,-89.443203,-82.330916,59.051325,32.246156,,-7.8,-7.6
2009/4/30,,,583.14,-7,165.31,5.3,,,,-74.273048,-81.454333,54.741498,-14.299415,,-6.7,-5.5
2009/5/31,,,740.03,-5.6,157.37,-2.8,,,,-75.875769,-81.088798,-24.598258,-28.919857,,-6.1,-4.3
2009/6/30,,,900.5,-4.5,160.47,1.3,,,,8828.314254,988.613658,17.002168,26.676616,,-4.6,-4.3
2009/7/31,,,1058.01,-3,157.41,6.5,,,,40296.58851,2548.934688,-13.564744,-15.794047,,-6.9,-10.9
2009/8/31,,,1215.04,-3.1,157.6,-3.8,,,,4472.271625,2838.201313,-24.806879,-5.96972,,-6.6,-5
2009/9/30,,,1390.39,-1.7,175.34,9.2,,,,2927.810219,2846.485723,-0.782655,6.33903,,-4.9,8.1
2009/10/31,,,1559.49,-1.2,169.28,3.2,,,,-87.200586,2369.253336,-2.013919,-7.463987,,-2,24.6
2009/11/30,,,1836.88,7.2,205.31,52.1,,,,-30.503948,2234.547931,28.031965,0.864825,,1.6,43.1
2009/12/31,,,2001.36,8.7,193.57,52.6,,,,518.485237,2223.063762,-1.678937,-0.236301,,4.4,38
2010/1/31,,,172.61,29.91,172.61,29.91,,,,9322.659442,9320.959147,-26.955421,-29.125061,,64.1721,64.1721
2010/2/28,,,344.3,28.5,171.8,27.1,,,,-59.57667,1173.383294,-47.920042,-8.158272,,50.8,39
2010/3/31,,,524.5,24.7,180.6,16,,,,36.367372,962.842414,-46.270185,36.435624,,52.7,54.6
2010/4/30,,,691.9,19,167,3.5,,,,368.76271,873.18974,-45.974715,-13.828132,,52.7,52.3
2010/5/31,,,869.4,18,177.8,14.6,,,,546.352045,845.870215,-15.929854,10.609653,,46.4,29.5
2010/6/30,,,1072.3,17.5,202.8,15,,,,-99.243271,-84.796187,-28.029087,8.445531,,44.3,33.2
2010/7/31,,,1226,13.4,165.4,-1.9,,,,-99.63682,-93.779968,-33.85357,-22.608691,,41.4,30.5
2010/8/31,,,1385.9,11.4,159.6,-2.6,,,,-99.89545,-95.211247,-18.410914,15.982746,,37.6,15.4
2010/9/30,,,1544.5,8.5,159,-11.1,,,,-98.052283,-95.481152,-23.90541,-0.822214,,33.4,7
2010/10/31,,,1700.1,6.8,155.4,-7.8,,,,-58.515476,-95.449982,-18.357533,-0.717404,,28.1,-7.1
2010/11/30,,,1870.3,6,170.5,-1.5,,,,-6.093077,-95.300667,-31.480421,-15.347789,,24.8,-2
2010/12/31,,,2029.3,4.2,161.4,-15.8,,,,56.960011,-95.029384,-27.834365,5.072313,,22.4,1.9
2011/1/31,,,171.9729,-0.1276,171.9729,-0.1276,,,,-27.735498,-27.735294,48.082293,45.433814,,6.2879,6.2879
2011/2/28,,,344.9,0.9,172.9,1.9,,,,2427.09864,39.951892,22.354532,-24.114819,,8.8,11.5
