,date,open,close,high,low,volume,money,factor,open_interest,stkcd
139,2022-08-26,2288.466,2449.472,2471.251,2285.676,7236393.0,343169314160.0,1.0,809789.0,SA8888.XZCE
140,2022-09-02,2447.602,2319.736,2452.877,2293.433,6719546.0,317041810880.0,1.0,812287.0,SA8888.XZCE
141,2022-09-09,2320.627,2318.044,2373.946,2255.037,7151662.0,328012277100.0,1.0,824533.0,SA8888.XZCE
142,2022-09-16,2336.668,2292.84,2382.89,2276.662,4499370.0,207885157300.0,1.0,875865.0,SA8888.XZCE
143,2022-09-23,2292.79,2389.464,2411.775,2290.867,7043044.0,328607732760.0,1.0,932172.0,SA8888.XZCE
144,2022-09-30,2372.391,2505.354,2507.659,2364.637,7048505.0,343598684460.0,1.0,771142.0,SA8888.XZCE
145,2022-10-14,2511.106,2443.52,2529.106,2420.056,5757572.0,285744923720.0,1.0,835359.0,SA8888.XZCE
146,2022-10-21,2438.732,2379.036,2445.77,2370.863,5467267.0,266253216680.0,1.0,835161.0,SA8888.XZCE
147,2022-10-28,2375.147,2303.837,2418.587,2292.143,5663133.0,269934102600.0,1.0,846104.0,SA8888.XZCE
148,2022-11-04,2298.182,2309.227,2312.141,2209.278,6737788.0,310593547900.0,1.0,865298.0,SA8888.XZCE
149,2022-11-11,2315.094,2414.724,2438.236,2268.107,6927447.0,335679833540.0,1.0,970067.0,SA8888.XZCE
150,2022-11-18,2411.293,2497.536,2512.693,2397.254,6642059.0,331148539840.0,1.0,1124562.0,SA8888.XZCE
151,2022-11-25,2496.491,2574.203,2576.977,2454.229,7404611.0,377247541480.0,1.0,1315222.0,SA8888.XZCE
152,2022-12-02,2572.574,2610.454,2641.419,2544.38,9114547.0,471641514540.0,1.0,1296230.0,SA8888.XZCE
153,2022-12-09,2609.818,2650.835,2660.837,2518.387,9844463.0,501732156420.0,1.0,1254772.0,SA8888.XZCE
154,2022-12-16,2645.242,2747.697,2798.87,2637.985,8033955.0,427449801460.0,1.0,1313909.0,SA8888.XZCE
155,2022-12-23,2742.892,2643.162,2745.497,2607.701,10110861.0,535416660820.0,1.0,1179619.0,SA8888.XZCE
156,2022-12-30,2638.983,2729.082,2734.722,2622.827,8665083.0,460141989060.0,1.0,1066602.0,SA8888.XZCE
157,2023-01-06,2721.144,2790.227,2793.169,2657.991,6201231.0,338314631800.0,1.0,1305338.0,SA8888.XZCE
158,2023-01-13,2783.571,2885.15,2891.731,2722.45,8878827.0,493898080780.0,1.0,1423200.0,SA8888.XZCE
159,2023-01-20,2872.81,2932.04,2933.467,2824.555,6054190.0,346644720500.0,1.0,1233633.0,SA8888.XZCE
160,2023-02-03,2959.94,2891.576,2974.17,2833.134,7929337.0,460636427000.0,1.0,1339396.0,SA8888.XZCE
161,2023-02-10,2890.93,2794.155,2897.983,2763.135,9506549.0,539956602380.0,1.0,1314153.0,SA8888.XZCE
162,2023-02-17,2793.182,2753.256,2801.849,2714.772,8075132.0,449371116300.0,1.0,1340162.0,SA8888.XZCE
163,2023-02-24,2738.715,2743.73,2813.866,2686.733,7429448.0,413868022680.0,1.0,1306010.0,SA8888.XZCE
164,2023-03-03,2736.275,2790.739,2796.649,2709.941,5901302.0,330837078700.0,1.0,1434830.0,SA8888.XZCE
