,Unnamed: 0,date_x,open,close,high,low,volume,money,factor,open_interest,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y
10,10,2023-03-03,2209.0,2237.0,2240.0,2192.0,7272.0,322656160.0,1.0,8244.0,SA2312.XZCE,2023,3,9,217,51,2023-02-23,90.71,60.61,,,,,1305779.0,705816.0,,,,,,90.71,,,2023-02,5.5,8.1,-0.8,,,-1.3,,3.9,,23.2,-11.8,,,-14.0,-1.4,-1.1,2023.0,2.0
11,11,2023-03-10,2237.0,2187.0,2239.0,2172.0,12111.0,534961560.0,1.0,8474.0,SA2312.XZCE,2023,3,10,218,51,2023-03-02,93.32,62.36,502.86225,7.6,,,1296266.0,644464.0,,-99.888682,-97.248775,56.727131,-14.997945,93.32,10.4,,2023-02,5.5,8.1,-0.8,,,-1.3,,3.9,,23.2,-11.8,,,-14.0,-1.4,-1.1,2023.0,2.0
12,12,2023-03-17,2190.0,2069.0,2196.0,2064.0,12504.0,530818540.0,1.0,9895.0,SA2312.XZCE,2023,3,11,219,51,2023-03-09,93.28,62.33,,,,,1379885.0,638633.0,,,,,,93.28,,,2023-02,5.5,8.1,-0.8,,,-1.3,,3.9,,23.2,-11.8,,,-14.0,-1.4,-1.1,2023.0,2.0
13,13,2023-03-24,2069.0,2113.0,2115.0,2030.0,10916.0,452046240.0,1.0,11194.0,SA2312.XZCE,2023,3,12,220,51,2023-03-16,90.09,62.2,,,,,1398556.0,589966.0,,,,,,90.09,,,2023-02,5.5,8.1,-0.8,,,-1.3,,3.9,,23.2,-11.8,,,-14.0,-1.4,-1.1,2023.0,2.0
14,14,2023-03-31,2104.0,2088.0,2145.0,2067.0,14812.0,623814120.0,1.0,13383.0,SA2312.XZCE,2023,3,13,221,51,2023-03-23,92.42,61.75,,,,,1416301.0,523555.0,,,,,,92.42,,,2023-02,5.5,8.1,-0.8,,,-1.3,,3.9,,23.2,-11.8,,,-14.0,-1.4,-1.1,2023.0,2.0
15,15,2023-04-07,2084.0,2058.0,2105.0,2031.0,9442.0,388909040.0,1.0,15225.0,SA2312.XZCE,2023,4,14,222,52,2023-03-30,93.78,62.66,769.74029,8.2,267.19254,9.6,1454342.0,622296.0,,542.090808,-36.948699,12.937165,23.313064,93.78,6.3,-0.5,2023-03,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023.0,3.0
16,16,2023-04-14,2064.0,1965.0,2069.0,1918.0,23363.0,922224940.0,1.0,17568.0,SA2312.XZCE,2023,4,15,223,52,2023-04-06,91.57,61.18,,,,,1408197.0,669805.0,,,,,,91.57,,,2023-03,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023.0,3.0
17,17,2023-04-21,1966.0,1910.0,2036.0,1895.0,26056.0,1021573400.0,1.0,17042.0,SA2312.XZCE,2023,4,16,224,52,2023-04-13,90.73,60.63,,,,,1479566.0,754293.0,,,,,,90.73,,,2023-03,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023.0,3.0
18,18,2023-04-28,1908.0,1811.0,1918.0,1810.0,20470.0,761860680.0,1.0,17837.0,SA2312.XZCE,2023,4,17,225,52,2023-04-20,92.94,62.1,,,,,1533773.0,795304.0,,,,,,92.94,,,2023-03,5.1,7.0,1.6,4.8,4.6,1.1,7.3,5.5,-2.6,-4.1,-6.8,0.0,11.2,-5.1,-2.5,-1.6,2023.0,3.0
19,19,2023-05-05,1794.0,1819.0,1831.0,1782.0,9108.0,329007400.0,1.0,19066.0,SA2312.XZCE,2023,5,18,226,53,2023-04-27,94.36,63.05,1054.2,10.8,263.7,6.5,1592596.0,855559.0,,949.676165,2.480317,17.067674,8.837661,94.36,4.0,-0.6,2023-04,4.7,6.4,1.8,2.7,13.5,4.0,9.1,6.4,-10.6,4.3,-3.0,-1.9,59.8,4.3,-3.6,-2.1,2023.0,4.0
