,index,JYR,RV,garch,gjrgarch,RV_s1,garch_s1,gjrgarch_s1,RV_s2,garch_s2,gjrgarch_s2,date_x,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:工业增加值:金属制品业:累计同比,中国:工业增加值:金属制品业:当月同比,中国:工业增加值:通用设备制造业:当月同比,中国:工业增加值:通用设备制造业:累计同比,中国:工业增加值:专用设备制造业:当月同比,中国:工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,ppi_yoy,lstm,date
291,291,2022-05-19,6.21296963776201e-05,-2.3092115496421197e-06,0.0001906219147812353,7.12103776440708e-05,-1.4572812804652194e-06,0.0002150091716200386,8.169986156156106e-05,1.2686177427423665e-05,0.0002411556084079381,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013691318,2022-05-19
292,292,2022-05-20,7.281600384199846e-05,3.4624329271736287e-05,0.0002025946775954733,6.21296963776201e-05,-2.3092115496421197e-06,0.0001906219147812353,7.12103776440708e-05,-1.4572812804652194e-06,0.0002150091716200386,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.0001369828,2022-05-20
293,293,2022-05-23,4.324345132800941e-05,6.964438354983061e-07,0.00018450663557584757,7.281600384199846e-05,3.4624329271736287e-05,0.0002025946775954733,6.21296963776201e-05,-2.3092115496421197e-06,0.0001906219147812353,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013673051,2022-05-23
294,294,2022-05-24,8.459976936156959e-05,5.334614885994921e-05,0.0002479698339327018,4.324345132800941e-05,6.964438354983061e-07,0.00018450663557584757,7.281600384199846e-05,3.4624329271736287e-05,0.0002025946775954733,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013717983,2022-05-24
295,295,2022-05-25,6.662649449764338e-05,9.845332181939297e-07,0.0002224344909459041,8.459976936156959e-05,5.334614885994921e-05,0.0002479698339327018,4.324345132800941e-05,6.964438354983061e-07,0.00018450663557584757,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013669251,2022-05-25
296,296,2022-05-26,0.00017997380079602803,-2.0683475380488416e-06,0.00019733707197804458,6.662649449764338e-05,9.845332181939297e-07,0.0002224344909459041,8.459976936156959e-05,5.334614885994921e-05,0.0002479698339327018,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013696031,2022-05-26
297,297,2022-05-27,5.777105596486747e-05,-2.252569402598706e-06,0.00017520814989108866,0.00017997380079602803,-2.0683475380488416e-06,0.00019733707197804458,6.662649449764338e-05,9.845332181939297e-07,0.0002224344909459041,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013656358,2022-05-27
298,298,2022-05-30,5.9619387419311793e-05,2.0867353633913944e-06,0.00015975718243987778,5.777105596486747e-05,-2.252569402598706e-06,0.00017520814989108866,0.00017997380079602803,-2.0683475380488416e-06,0.00019733707197804458,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.0001367541,2022-05-30
299,299,2022-05-31,8.633808831827291e-05,2.101598458996183e-05,0.00016331022419688288,5.9619387419311793e-05,2.0867353633913944e-06,0.00015975718243987778,5.777105596486747e-05,-2.252569402598706e-06,0.00017520814989108866,2022-05,6.2,10.6,0.6,-2.3,-6.8,-3.6,1.1,3.6,6.9,-5.4,-8.7,-18.0,-4.8,-7.2,6.4,0.00013683797,2022-05-31
300,300,2022-06-01,6.133402039814877e-05,-2.262870745323025e-06,0.0001456730861136867,8.633808831827291e-05,2.101598458996183e-05,0.00016331022419688288,5.9619387419311793e-05,2.0867353633913944e-06,0.00015975718243987778,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013661731,2022-06-01
301,301,2022-06-02,3.765995639880494e-05,-2.4350692616803855e-06,0.00012983238031953677,6.133402039814877e-05,-2.262870745323025e-06,0.0001456730861136867,8.633808831827291e-05,2.101598458996183e-05,0.00016331022419688288,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013672214,2022-06-02
302,302,2022-06-06,9.81119056314433e-05,3.168657973290353e-05,0.00014674790543005623,3.765995639880494e-05,-2.4350692616803855e-06,0.00012983238031953677,6.133402039814877e-05,-2.262870745323025e-06,0.0001456730861136867,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013685392,2022-06-06
303,303,2022-06-07,8.941025472104637e-05,-1.7020634179682937e-06,0.0001314333330725721,9.81119056314433e-05,3.168657973290353e-05,0.00014674790543005623,3.765995639880494e-05,-2.4350692616803855e-06,0.00012983238031953677,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013649906,2022-06-07
304,304,2022-06-08,0.00010873013205420028,6.70422354125045e-06,0.00012561481630647724,8.941025472104637e-05,-1.7020634179682937e-06,0.0001314333330725721,9.81119056314433e-05,3.168657973290353e-05,0.00014674790543005623,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.0001366208,2022-06-08
305,305,2022-06-09,9.327251578239294e-05,8.377548520810344e-06,0.00012871083185529096,0.00010873013205420028,6.70422354125045e-06,0.00012561481630647724,8.941025472104637e-05,-1.7020634179682937e-06,0.0001314333330725721,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013652569,2022-06-09
306,306,2022-06-10,6.227698645045073e-05,1.997134040846125e-05,0.00013519924149628571,9.327251578239294e-05,8.377548520810344e-06,0.00012871083185529096,0.00010873013205420028,6.70422354125045e-06,0.00012561481630647724,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013656021,2022-06-10
307,307,2022-06-13,9.843387752873544e-05,1.1196277990572567e-05,0.0001413426998933927,6.227698645045073e-05,1.997134040846125e-05,0.00013519924149628571,9.327251578239294e-05,8.377548520810344e-06,0.00012871083185529096,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013664234,2022-06-13
308,308,2022-06-14,0.00018567625084716123,3.46202397797965e-06,0.00013136194200175837,9.843387752873544e-05,1.1196277990572567e-05,0.0001413426998933927,6.227698645045073e-05,1.997134040846125e-05,0.00013519924149628571,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013656246,2022-06-14
309,309,2022-06-15,0.00019711372274555295,1.462492796433457e-05,0.0001326968101558707,0.00018567625084716123,3.46202397797965e-06,0.00013136194200175837,9.843387752873544e-05,1.1196277990572567e-05,0.0001413426998933927,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013634258,2022-06-15
310,310,2022-06-16,8.142823162138268e-05,1.6817836456287235e-06,0.00012482423887554423,0.00019711372274555295,1.462492796433457e-05,0.0001326968101558707,0.00018567625084716123,3.46202397797965e-06,0.00013136194200175837,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013615706,2022-06-16
311,311,2022-06-17,0.00015944674336576417,1.6314867910232635e-05,0.0001284999992499508,8.142823162138268e-05,1.6817836456287235e-06,0.00012482423887554423,0.00019711372274555295,1.462492796433457e-05,0.0001326968101558707,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.0001365414,2022-06-17
312,312,2022-06-20,0.00019861744911111264,-2.274297474556976e-07,0.00011679529563242641,0.00015944674336576417,1.6314867910232635e-05,0.0001284999992499508,8.142823162138268e-05,1.6817836456287235e-06,0.00012482423887554423,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013631023,2022-06-20
313,313,2022-06-21,0.00013777591219031412,-2.553504879106909e-06,0.00010453076239145218,0.00019861744911111264,-2.274297474556976e-07,0.00011679529563242641,0.00015944674336576417,1.6314867910232635e-05,0.0001284999992499508,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013617566,2022-06-21
314,314,2022-06-22,8.469727833752582e-05,1.3665792596320528e-05,0.00011822432277747982,0.00013777591219031412,-2.553504879106909e-06,0.00010453076239145218,0.00019861744911111264,-2.274297474556976e-07,0.00011679529563242641,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013635744,2022-06-22
315,315,2022-06-23,6.543318437542027e-05,2.6250975742434483e-05,0.00013168663594448292,8.469727833752582e-05,1.3665792596320528e-05,0.00011822432277747982,0.00013777591219031412,-2.553504879106909e-06,0.00010453076239145218,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013651032,2022-06-23
316,316,2022-06-24,9.626420424044103e-05,1.088682552321177e-05,0.00012960864394604172,6.543318437542027e-05,2.6250975742434483e-05,0.00013168663594448292,8.469727833752582e-05,1.3665792596320528e-05,0.00011822432277747982,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013657624,2022-06-24
317,317,2022-06-27,6.966969338797369e-05,9.860424123695547e-06,0.00012686483199796184,9.626420424044103e-05,1.088682552321177e-05,0.00012960864394604172,6.543318437542027e-05,2.6250975742434483e-05,0.00013168663594448292,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013657226,2022-06-27
318,318,2022-06-28,8.056420336424458e-05,8.043361536641374e-06,0.0001228247486117983,6.966969338797369e-05,9.860424123695547e-06,0.00012686483199796184,9.626420424044103e-05,1.088682552321177e-05,0.00012960864394604172,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013660347,2022-06-28
319,319,2022-06-29,0.00013745319827506184,2.1411119114249506e-05,0.0001458977747563738,8.056420336424458e-05,8.043361536641374e-06,0.0001228247486117983,6.966969338797369e-05,9.860424123695547e-06,0.00012686483199796184,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013667688,2022-06-29
320,320,2022-06-30,8.585593817379043e-05,1.7750886306554693e-05,0.00014823637744963843,0.00013745319827506184,2.1411119114249506e-05,0.0001458977747563738,8.056420336424458e-05,8.043361536641374e-06,0.0001228247486117983,2022-06,6.1,10.4,0.5,0.1,1.1,-2.7,6.0,4.1,21.9,-1.0,-7.3,-11.7,26.8,-2.1,6.1,0.00013643168,2022-06-30
321,321,2022-07-01,7.112129255094179e-05,-1.009483480185954e-06,0.00013436973179728904,8.585593817379043e-05,1.7750886306554693e-05,0.00014823637744963843,0.00013745319827506184,2.1411119114249506e-05,0.0001458977747563738,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013653823,2022-07-01
322,322,2022-07-04,7.192841087792868e-05,1.598118974499748e-06,0.0001235787540019198,7.112129255094179e-05,-1.009483480185954e-06,0.00013436973179728904,8.585593817379043e-05,1.7750886306554693e-05,0.00014823637744963843,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013666236,2022-07-04
323,323,2022-07-05,0.00012607542559573694,-2.4709285903023205e-06,0.00011059132338534046,7.192841087792868e-05,1.598118974499748e-06,0.0001235787540019198,7.112129255094179e-05,-1.009483480185954e-06,0.00013436973179728904,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.0001366055,2022-07-05
324,324,2022-07-06,9.35601865030191e-05,1.8966946687861144e-05,0.00013151145831494904,0.00012607542559573694,-2.4709285903023205e-06,0.00011059132338534046,7.192841087792868e-05,1.598118974499748e-06,0.0001235787540019198,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013653946,2022-07-06
325,325,2022-07-07,5.5418326531105415e-05,-7.449377036756652e-07,0.00011896375701145235,9.35601865030191e-05,1.8966946687861144e-05,0.00013151145831494904,0.00012607542559573694,-2.4709285903023205e-06,0.00011059132338534046,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013642156,2022-07-07
326,326,2022-07-08,7.495956677567235e-05,-1.5830283126616957e-06,0.00010788991998641292,5.5418326531105415e-05,-7.449377036756652e-07,0.00011896375701145235,9.35601865030191e-05,1.8966946687861144e-05,0.00013151145831494904,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013664406,2022-07-08
327,327,2022-07-11,7.292316976047339e-05,2.5836805740534143e-05,0.000139493472704231,7.495956677567235e-05,-1.5830283126616957e-06,0.00010788991998641292,5.5418326531105415e-05,-7.449377036756652e-07,0.00011896375701145235,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013671478,2022-07-11
328,328,2022-07-12,0.00010685289274949954,6.269942507355998e-06,0.00013768116430143594,7.292316976047339e-05,2.5836805740534143e-05,0.000139493472704231,7.495956677567235e-05,-1.5830283126616957e-06,0.00010788991998641292,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013654502,2022-07-12
329,329,2022-07-13,7.059799451592876e-05,-2.3498345231604775e-06,0.0001229155041358606,0.00010685289274949954,6.269942507355998e-06,0.00013768116430143594,7.292316976047339e-05,2.5836805740534143e-05,0.000139493472704231,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013653253,2022-07-13
330,330,2022-07-14,6.093850369315386e-05,-2.6776029205186455e-06,0.00010969845465206152,7.059799451592876e-05,-2.3498345231604775e-06,0.0001229155041358606,0.00010685289274949954,6.269942507355998e-06,0.00013768116430143594,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013659878,2022-07-14
331,331,2022-07-15,0.00011095794055321185,2.6771817320814752e-05,0.00014248424264949502,6.093850369315386e-05,-2.6776029205186455e-06,0.00010969845465206152,7.059799451592876e-05,-2.3498345231604775e-06,0.0001229155041358606,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013675776,2022-07-15
332,332,2022-07-18,0.00010900610152660098,7.965574060165093e-06,0.00013642263883307634,0.00011095794055321185,2.6771817320814752e-05,0.00014248424264949502,6.093850369315386e-05,-2.6776029205186455e-06,0.00010969845465206152,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013644225,2022-07-18
333,333,2022-07-19,7.3589814248782e-05,2.7006650270387564e-07,0.00012595886490639064,0.00010900610152660098,7.965574060165093e-06,0.00013642263883307634,0.00011095794055321185,2.6771817320814752e-05,0.00014248424264949502,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013651072,2022-07-19
334,334,2022-07-20,3.187208170999096e-05,-1.5363366860576574e-06,0.00011339112613086483,7.3589814248782e-05,2.7006650270387564e-07,0.00012595886490639064,0.00010900610152660098,7.965574060165093e-06,0.00013642263883307634,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013658698,2022-07-20
335,335,2022-07-21,5.869332665494389e-05,9.87980503321063e-06,0.00012027633532903633,3.187208170999096e-05,-1.5363366860576574e-06,0.00011339112613086483,7.3589814248782e-05,2.7006650270387564e-07,0.00012595886490639064,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013675944,2022-07-21
336,336,2022-07-22,7.781301584940781e-05,-2.653285640166742e-06,0.00010741077911966111,5.869332665494389e-05,9.87980503321063e-06,0.00012027633532903633,3.187208170999096e-05,-1.5363366860576574e-06,0.00011339112613086483,2022-07,5.7,9.9,0.1,-2.3,-0.4,-2.2,4.0,4.1,30.3,-0.3,-10.1,-14.8,31.5,2.9,4.2,0.00013660727,2022-07-22
