,0,1,2
144,100,44,0.03646015889202384
242,1000,42,0.03640808626477625
142,100,42,0.03640808626477625
231,1000,31,0.03630163705268446
131,100,31,0.03630163705268446
218,1000,18,0.036216303428176055
118,100,18,0.036216303428176055
165,100,65,0.035940709950145464
265,1000,65,0.035940709950145464
130,100,30,0.03589964545676299
230,1000,30,0.03589964545676299
121,100,21,0.03569447298524159
221,1000,21,0.03569447298524159
168,100,68,0.0352266262113916
268,1000,68,0.0352266262113916
285,1000,85,0.03486359819133007
185,100,85,0.03486359819133007
232,1000,32,0.03479382199447291
132,100,32,0.03479382199447291
139,100,39,0.03465893279052264
239,1000,39,0.03465893279052264
249,1000,49,0.034649417347740546
149,100,49,0.034649417347740546
299,1000,99,0.03424422750782414
199,100,99,0.03424422750782414
157,100,57,0.03412134814902871
257,1000,57,0.03412134814902871
279,1000,79,0.03384446134672551
179,100,79,0.03384446134672551
263,1000,63,0.03370445041679371
163,100,63,0.03370445041679371
269,1000,69,0.03310715585155261
169,100,69,0.03310715585155261
256,1000,56,0.03256749737238626
156,100,56,0.03256749737238626
184,100,84,0.031942151139746654
284,1000,84,0.031942151139746654
250,1000,50,0.03160292641983084
150,100,50,0.03160292641983084
266,1000,66,0.03137229106221371
166,100,66,0.03137229106221371
233,1000,33,0.031237782073721212
133,100,33,0.031237782073721212
283,1000,83,0.031044395590336497
183,100,83,0.031044395590336497
259,1000,59,0.03096349308018966
159,100,59,0.03096349308018966
174,100,74,0.03090786405851994
274,1000,74,0.03090786405851994
226,1000,26,0.029646846962646255
126,100,26,0.029646846962646255
236,1000,36,0.027328664900610963
136,100,36,0.027328664900610963
188,100,88,0.024534052882416182
288,1000,88,0.024534052882416182
194,100,94,0.02421627046985419
294,1000,94,0.02421627046985419
291,1000,91,0.017601130086303245
191,100,91,0.017601130086303245
0,10,0,
1,10,1,
2,10,2,
3,10,3,
4,10,4,
5,10,5,
6,10,6,
7,10,7,
8,10,8,
9,10,9,
100,100,0,
101,100,1,
102,100,2,
103,100,3,
104,100,4,
105,100,5,
106,100,6,
107,100,7,
108,100,8,
109,100,9,
200,1000,0,
201,1000,1,
202,1000,2,
203,1000,3,
204,1000,4,
205,1000,5,
206,1000,6,
207,1000,7,
208,1000,8,
209,1000,9,
