,Unnamed: 0,date_x,open,high,low,close,stkcd,year_x,month_x,week,weekly,yearmonth,date_y,中国:开工率:纯碱,中国:产量:纯碱,中国:产量:碳酸钠(纯碱):累计值,中国:产量:碳酸钠(纯碱):累计同比,中国:产量:碳酸钠(纯碱):当月值,中国:产量:碳酸钠(纯碱):当月同比,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:工厂总库存:纯碱,中国:进口数量:碳酸钠(纯碱)(28362000):当月同比,中国:进口数量:碳酸钠(纯碱)(28362000):累计同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月同比,中国:出口数量:碳酸钠(纯碱)(28362000):当月环比,中国:开工率:纯碱.1,中国:产量:氧化铝:累计同比,中国:产量:氧化铝:当月同比,指标名称,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_y,month_y,re,re1,re2,re3,re4,re5,pred,pos,reMonth,asset,asset0
156,156,2021-01-08,6638.601,6682.044,6230.27,6335.812,AP8888.XZCE,2021,1,1,105,25,2020-12-24,66.26,46.95,2503.8,-5.3,245.0,-6.5,261409.0,154014.0,,62.789857,122.986494,-42.637918,-33.506703,66.26,0.5,11.3,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,-0.04133298147104103,-0.04260474843451567,-0.010707262326805855,0.017708539511792853,0.011552154673448056,-0.034221346104712946,0.020083494,1,-0.04133298147104103,0.2576548136918996,-0.1479507394469154
155,155,2020-12-31,6684.464,6764.234,6541.503,6617.76,AP8888.XZCE,2020,12,53,105,24,2020-12-24,66.26,46.95,2503.8,-5.3,245.0,-6.5,261409.0,154014.0,,62.789857,122.986494,-42.637918,-33.506703,66.26,0.5,11.3,2020-11,2.6,-3.5,4.3,13.8,10.2,4.4,10.5,6.0,50.9,21.0,4.1,25.7,8.1,-2.7,-1.5,-2.0,2020.0,11.0,-0.04260474843451567,-0.010707262326805855,0.017708539511792853,0.011552154673448056,-0.034221346104712946,-0.04169067839702012,0.020083494,1,-0.04260474843451567,0.2150500652573839,-0.19055548788143106
156,156,2021-01-08,6638.601,6682.044,6230.27,6335.812,AP8888.XZCE,2021,1,1,105,25,2020-12-24,66.26,46.95,2503.8,-5.3,245.0,-6.5,261409.0,154014.0,,62.789857,122.986494,-42.637918,-33.506703,66.26,0.5,11.3,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,-0.04133298147104103,-0.04260474843451567,-0.010707262326805855,0.017708539511792853,0.011552154673448056,-0.034221346104712946,0.020083494,1,-0.04133298147104103,0.17371708378634287,-0.2318884693524721
157,157,2021-01-15,6307.388,6315.88,6010.289,6073.934,AP8888.XZCE,2021,1,2,106,25,2021-01-07,69.54,49.38,2503.8,-5.3,245.0,-6.5,232316.0,175758.0,,62.789857,122.986494,-42.637918,-33.506703,69.54,0.5,11.3,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,0.008360314748234066,-0.04133298147104103,-0.04260474843451567,-0.010707262326805855,0.017708539511792853,0.011552154673448056,0.0008734743,1,0.008360314748234066,0.18207739853457694,-0.22352815460423803
158,158,2021-01-22,6088.764,6405.686,6077.721,6124.714,AP8888.XZCE,2021,1,3,107,25,2021-01-14,72.66,51.6,2503.8,-5.3,245.0,-6.5,254422.0,200965.0,,62.789857,122.986494,-42.637918,-33.506703,72.66,0.5,11.3,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,0.0037356846376825903,0.008360314748234066,-0.04133298147104103,-0.04260474843451567,-0.010707262326805855,0.017708539511792853,0.013652195,1,0.0037356846376825903,0.18581308317225953,-0.21979246996655544
159,159,2021-01-29,6154.713,6229.879,6049.152,6147.594,AP8888.XZCE,2021,1,4,108,25,2021-01-21,74.89,53.19,2503.8,-5.3,245.0,-6.5,232079.0,179372.0,,62.789857,122.986494,-42.637918,-33.506703,74.89,0.5,11.3,2020-12,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,-0.4,-1.8,2020.0,12.0,0.0007306923651757558,0.0037356846376825903,0.008360314748234066,-0.04133298147104103,-0.04260474843451567,-0.010707262326805855,-0.025489237,-1,-0.0007306923651757558,0.18508239080708377,-0.21906177760137968
160,160,2021-02-05,6178.714,6283.743,6095.933,6152.086,AP8888.XZCE,2021,2,5,109,26,2021-01-28,74.42,52.56,2503.8,-5.3,245.0,-6.5,234244.0,177269.0,,-80.776973,-80.776973,-12.395699,-18.47059,74.42,0.5,11.3,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,0.025089376188824453,0.0007306923651757558,0.0037356846376825903,0.008360314748234066,-0.04133298147104103,-0.04260474843451567,0.014329288,1,0.025089376188824453,0.21017176699590823,-0.19397240141255523
161,161,2021-02-10,6173.667,6317.61,6145.692,6306.438,AP8888.XZCE,2021,2,6,110,26,2021-02-04,77.77,54.92,2503.8,-5.3,245.0,-6.5,239197.0,181081.0,,-80.776973,-80.776973,-12.395699,-18.47059,77.77,0.5,11.3,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,0.02599407145523358,0.025089376188824453,0.0007306923651757558,0.0037356846376825903,0.008360314748234066,-0.04133298147104103,0.016739873,1,0.02599407145523358,0.2361658384511418,-0.16797832995732165
162,162,2021-02-19,6320.785,6524.174,6196.666,6470.368,AP8888.XZCE,2021,2,7,111,26,2021-02-10,80.82,54.92,2503.8,-5.3,245.0,-6.5,265685.0,198042.0,,-80.776973,-80.776973,-12.395699,-18.47059,80.82,0.5,11.3,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,-0.015611785913876908,0.02599407145523358,0.025089376188824453,0.0007306923651757558,0.0037356846376825903,0.008360314748234066,0.024081146,1,-0.015611785913876908,0.2205540525372649,-0.18359011587119856
163,163,2021-02-26,6483.558,6622.211,6279.955,6369.354,AP8888.XZCE,2021,2,8,112,26,2021-02-10,80.82,54.92,2503.8,-5.3,245.0,-6.5,265685.0,198042.0,,-80.776973,-80.776973,-12.395699,-18.47059,80.82,0.5,11.3,2021-01,2.9,-2.2,5.2,13.0,11.1,5.1,8.7,6.3,13.4,-1.2,5.9,32.4,6.5,-1.4,0.3,0.3,2021.0,1.0,-0.06598832471864491,-0.015611785913876908,0.02599407145523358,0.025089376188824453,0.0007306923651757558,0.0037356846376825903,0.03107216,1,-0.06598832471864491,0.15456572781862,-0.24957844058984346
