,re,re1,re2,re3,re4,re5,中国:产量:纯碱,re期货持仓量:纯碱,re期货持仓量(活跃合约):纯碱,期货持仓量:纯碱,期货持仓量(活跃合约):纯碱,中国:开工率:纯碱,中国:固定资产投资完成额:累计同比,中国:固定资产投资完成额:制造业:累计同比,中国:规模以上工业增加值:金属制品业:累计同比,中国:规模以上工业增加值:金属制品业:当月同比,中国:规模以上工业增加值:通用设备制造业:当月同比,中国:规模以上工业增加值:通用设备制造业:累计同比,中国:规模以上工业增加值:专用设备制造业:当月同比,中国:规模以上工业增加值:专用设备制造业:累计同比,中国:产量:工业锅炉:当月同比,中国:产量:工业锅炉:累计同比,中国:产量:金属切削机床:累计同比,中国:产量:金属切削机床:当月同比,中国:产量:汽车:当月同比,中国:产量:汽车:累计同比,中国:PPI:全部工业品:当月同比,中国:PPI:全部工业品:累计同比,year_x,month_x,weekly,pred,pos,reMonth,asset,asset0
632,0.012560908610038002,0.023533508860617003,0.023732924835952574,0.060076037441345154,0.011819654470417662,0.0012539368939008533,48.38,-0.06264125424874989,-0.134295269229324,526730.0,299507.0,68.19,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021,7,133,0.03829795,1,0.012560908610038002,0.4135090423961785,0.5160443620671216
633,-0.0630267360155834,0.012560908610038002,0.023533508860617003,0.023732924835952574,0.060076037441345154,0.011819654470417662,50.78,-0.01847625918402218,-0.05188860360525793,516998.0,283966.0,71.56,12.6,19.2,28.2,19.7,13.9,24.3,10.5,20.1,0.6,22.0,45.6,29.5,-13.1,26.4,8.8,5.1,2021,7,134,0.029678429,1,-0.0630267360155834,0.3504823063805951,0.45301762605153817
634,0.013012025100642477,-0.0630267360155834,0.012560908610038002,0.023533508860617003,0.023732924835952574,0.060076037441345154,54.67,0.027477862583607626,-0.06098265285280635,531204.0,266649.0,77.04,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021,8,135,-0.026466055,-1,-0.013012025100642477,0.3374702812799526,0.46602965115218065
635,-0.06459257423183129,0.013012025100642477,-0.0630267360155834,0.012560908610038002,0.023533508860617003,0.023732924835952574,54.73,-0.03423731749007919,0.1036268652798249,513017.0,294281.0,77.14,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021,8,136,-0.026703132,-1,0.06459257423183129,0.4020628555117839,0.40143707692034936
636,0.021243601714415083,-0.06459257423183129,0.013012025100642477,-0.0630267360155834,0.012560908610038002,0.023533508860617003,51.0,0.08850388973464818,0.2714106585202578,558421.0,374152.0,71.67,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021,8,137,0.01964654,1,0.021243601714415083,0.423306457226199,0.42268067863476444
637,0.03332018049582608,0.021243601714415083,-0.06459257423183129,0.013012025100642477,-0.0630267360155834,0.012560908610038002,55.28,0.09855288393523876,0.21378744467489152,613455.0,454141.0,77.67,10.3,17.3,25.5,12.7,7.6,21.5,5.3,17.8,-2.0,18.2,44.2,27.5,-15.8,18.9,9.0,5.7,2021,8,138,-0.028092949,-1,-0.03332018049582608,0.3899862767303729,0.4560008591305905
638,0.04125997928736025,0.03332018049582608,0.021243601714415083,-0.06459257423183129,0.013012025100642477,-0.0630267360155834,55.21,-0.08538197585804985,-0.09584027867996947,561077.0,410616.0,77.58,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,-7.7,14.5,40.6,23.1,-19.1,13.5,9.5,6.2,2021,9,139,0.041975413,1,0.04125997928736025,0.43124625601773314,0.49726083841795077
639,-0.027410938618718683,0.04125997928736025,0.03332018049582608,0.021243601714415083,-0.06459257423183129,0.013012025100642477,54.99,-0.05285905499601662,-0.04385606016326693,531419.0,392608.0,77.27,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,-7.7,14.5,40.6,23.1,-19.1,13.5,9.5,6.2,2021,9,140,0.045615185,1,-0.027410938618718683,0.40383531739901446,0.4698498997992321
640,-0.0015909759477447105,-0.027410938618718683,0.04125997928736025,0.03332018049582608,0.021243601714415083,-0.06459257423183129,54.36,-0.018736627783349835,-0.02703459939685382,521462.0,381994.0,76.39,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,-7.7,14.5,40.6,23.1,-19.1,13.5,9.5,6.2,2021,9,141,0.0430278,1,-0.0015909759477447105,0.40224434145126975,0.4682589238514874
641,0.040541679915311324,-0.0015909759477447105,-0.027410938618718683,0.04125997928736025,0.03332018049582608,0.021243601714415083,56.46,0.10901081958033365,0.12325586265752864,578307.0,429077.0,79.33,8.9,15.7,23.5,11.8,6.7,19.4,8.7,16.5,-7.7,14.5,40.6,23.1,-19.1,13.5,9.5,6.2,2021,9,142,0.04689509,1,0.040541679915311324,0.4427860213665811,0.5088006037667987
